query,query_time,rows_examined,joins
SUM transactions for user_id=5218,0.036165982997024886,41,2
SUM transactions for user_id=5218,0.032889334639502874,41,2
SUM transactions for user_id=6592,0.037333066176888086,47,2
SUM transactions for user_id=6592,0.0316907226990296,47,2
SUM transactions for user_id=6592,0.03798508372948264,47,2
SUM transactions for user_id=1644,0.03410409544586237,32,2
SUM transactions for user_id=1644,0.027939399363154198,32,2
SUM transactions for user_id=1644,0.035466878755311446,32,2
SUM transactions for user_id=759,0.029359019647833277,30,2
SUM transactions for user_id=759,0.029392770263174054,30,2
SUM transactions for user_id=759,0.03303645626897685,30,2
SUM transactions for user_id=6288,0.02804736880360197,16,2
SUM transactions for user_id=6288,0.028924187191464727,16,2
SUM transactions for user_id=6288,0.022288585902202663,16,2
SUM transactions for user_id=459,0.0387264229650311,34,2
SUM transactions for user_id=459,0.031358518106233545,34,2
SUM transactions for user_id=459,0.03718997754704291,34,2
SUM transactions for user_id=6025,0.03578280879893065,9,2
SUM transactions for user_id=6025,0.03844922268905578,9,2
SUM transactions for user_id=6025,0.04036094490392086,9,2
SUM transactions for user_id=9725,0.023530960966748973,29,2
SUM transactions for user_id=9725,0.03070157647448238,29,2
SUM transactions for user_id=9725,0.03314047493984073,29,2
SUM transactions for user_id=8453,0.034681814044929135,11,2
SUM transactions for user_id=8453,0.02585086938211466,11,2
SUM transactions for user_id=8453,0.03364294314355312,11,2
SUM transactions for user_id=666,0.02993864895959771,10,2
SUM transactions for user_id=666,0.03916807915538805,10,2
SUM transactions for user_id=666,0.028473728197343857,10,2
SUM transactions for user_id=2671,0.03297387584330302,42,2
SUM transactions for user_id=2671,0.03075271639083744,42,2
SUM transactions for user_id=2671,0.033342383254186155,42,2
SUM transactions for user_id=2456,0.03597823875589481,15,2
SUM transactions for user_id=2456,0.032365279245913835,15,2
SUM transactions for user_id=2456,0.03470752930150465,15,2
SUM transactions for user_id=8610,0.033131765742802334,30,2
SUM transactions for user_id=8610,0.030256836137052254,30,2
SUM transactions for user_id=8610,0.032032987816301886,30,2
SUM transactions for user_id=7130,0.02588384479442524,9,2
SUM transactions for user_id=7130,0.027818732975387974,9,2
SUM transactions for user_id=7130,0.03362739786675666,9,2
SUM transactions for user_id=1868,0.033580594428875864,28,2
SUM transactions for user_id=1868,0.033457290567998316,28,2
SUM transactions for user_id=1868,0.02891403870491853,28,2
SUM transactions for user_id=8165,0.02418588685778279,14,2
SUM transactions for user_id=8165,0.02407073493949148,14,2
SUM transactions for user_id=8165,0.028600771744669032,14,2
SUM transactions for user_id=4344,0.022612987951468086,8,2
SUM transactions for user_id=4344,0.031819818781183784,8,2
SUM transactions for user_id=4344,0.029455462327526574,8,2
SUM transactions for user_id=3932,0.021337586606021322,15,2
SUM transactions for user_id=3932,0.025403894785807624,15,2
SUM transactions for user_id=3932,0.026751116418137117,15,2
SUM transactions for user_id=4682,0.02416773601881434,21,2
SUM transactions for user_id=4682,0.033041907751586545,21,2
SUM transactions for user_id=4682,0.02419336060144022,21,2
SUM transactions for user_id=594,0.030267798367019896,11,2
SUM transactions for user_id=594,0.026421223568565525,11,2
SUM transactions for user_id=594,0.023474746110082337,11,2
SUM transactions for user_id=9057,0.02676571928617589,27,2
SUM transactions for user_id=9057,0.03671119014992439,27,2
SUM transactions for user_id=9057,0.02817928869409185,27,2
SUM transactions for user_id=2999,0.03140219952800427,18,2
SUM transactions for user_id=2999,0.02816832522049662,18,2
SUM transactions for user_id=2999,0.03163746725476616,18,2
SUM transactions for user_id=8247,0.034421467156639574,30,2
SUM transactions for user_id=8247,0.03190020892190545,30,2
SUM transactions for user_id=8247,0.03188781289512303,30,2
SUM transactions for user_id=3452,0.039635189695723355,23,2
SUM transactions for user_id=3452,0.037639984233176035,23,2
SUM transactions for user_id=3452,0.028268011744181743,23,2
SUM transactions for user_id=1787,0.028461296072352336,12,2
SUM transactions for user_id=1787,0.027466376522186742,12,2
SUM transactions for user_id=1787,0.0322522205685359,12,2
SUM transactions for user_id=2715,0.031052644775448876,44,2
SUM transactions for user_id=2715,0.027997316010716384,44,2
SUM transactions for user_id=2715,0.031982562778678454,44,2
SUM transactions for user_id=4996,0.030918120843887315,27,2
SUM transactions for user_id=4996,0.028099286808879735,27,2
SUM transactions for user_id=4996,0.02883213886288183,27,2
SUM transactions for user_id=2999,0.024422934805481467,18,2
SUM transactions for user_id=2999,0.026937029677857195,18,2
SUM transactions for user_id=2999,0.027476889332289166,18,2
SUM transactions for user_id=4993,0.026256892261051986,13,2
SUM transactions for user_id=4993,0.021870842591231267,13,2
SUM transactions for user_id=4993,0.027547622820556398,13,2
SUM transactions for user_id=4995,0.02384508004655216,20,2
SUM transactions for user_id=4995,0.03204124640290743,20,2
SUM transactions for user_id=4995,0.028033863972647906,20,2
SUM transactions for user_id=8947,0.023440625676387963,36,2
SUM transactions for user_id=8947,0.022803135453449405,36,2
SUM transactions for user_id=8947,0.021818157348967714,36,2
SUM transactions for user_id=8268,0.02812924761489109,35,2
SUM transactions for user_id=8268,0.02628606226347887,35,2
SUM transactions for user_id=8268,0.0241905308501767,35,2
SUM transactions for user_id=8547,0.02943773053960892,13,2
SUM transactions for user_id=8547,0.02098567715281474,13,2
SUM transactions for user_id=8547,0.02048322016121382,13,2
SUM transactions for user_id=8729,0.027956193303944568,5,2
SUM transactions for user_id=8729,0.027876715583323827,5,2
SUM transactions for user_id=8729,0.0237796969846294,5,2
SUM transactions for user_id=5328,0.026947416680849597,27,2
SUM transactions for user_id=5328,0.030484600439535988,27,2
SUM transactions for user_id=5328,0.027609958810948226,27,2
SUM transactions for user_id=1646,0.021637363030646464,40,2
SUM transactions for user_id=1646,0.028378687797825132,40,2
SUM transactions for user_id=1646,0.02434061117815572,40,2
SUM transactions for user_id=5861,0.025154916644990165,36,2
SUM transactions for user_id=5861,0.021811502905101726,36,2
SUM transactions for user_id=5861,0.02250617069002113,36,2
SUM transactions for user_id=559,0.027243548815906383,35,2
SUM transactions for user_id=559,0.023739736190587172,35,2
SUM transactions for user_id=559,0.02296808690391156,35,2
SUM transactions for user_id=4968,0.023365508987950093,12,2
SUM transactions for user_id=4968,0.022028270594323544,12,2
SUM transactions for user_id=4968,0.023504752713806688,12,2
SUM transactions for user_id=5713,0.029710778128452076,35,2
SUM transactions for user_id=5713,0.022735566195362576,35,2
SUM transactions for user_id=5713,0.02314595035991255,35,2
SUM transactions for user_id=8895,0.029972278599763997,9,2
SUM transactions for user_id=8895,0.02705902726636992,9,2
SUM transactions for user_id=8895,0.02250686220325043,9,2
SUM transactions for user_id=7363,0.023570600385126157,16,2
SUM transactions for user_id=7363,0.023105930889372926,16,2
SUM transactions for user_id=7363,0.022122577796497903,16,2
SUM transactions for user_id=3298,0.03747354724989325,31,2
SUM transactions for user_id=3298,0.027713559460376246,31,2
SUM transactions for user_id=3298,0.03778773641451214,31,2
SUM transactions for user_id=1596,0.03354827354358541,5,2
SUM transactions for user_id=1596,0.03807933916822073,5,2
SUM transactions for user_id=1596,0.03084177247784152,5,2
SUM transactions for user_id=57,0.03848342274814801,27,2
SUM transactions for user_id=57,0.03819049316024513,27,2
SUM transactions for user_id=57,0.0409545017309308,27,2
SUM transactions for user_id=6405,0.031549319783026886,18,2
SUM transactions for user_id=6405,0.033305136541590424,18,2
SUM transactions for user_id=6405,0.02903250157736291,18,2
SUM transactions for user_id=6452,0.03623740826468955,37,2
SUM transactions for user_id=6452,0.03084103965233046,37,2
SUM transactions for user_id=6452,0.03126631439792256,37,2
SUM transactions for user_id=7282,0.03719109315898624,24,2
SUM transactions for user_id=7282,0.031499059852112384,24,2
SUM transactions for user_id=7282,0.036124835118012136,24,2
SUM transactions for user_id=3826,0.03491150776950384,48,2
SUM transactions for user_id=3826,0.04064833992337368,48,2
SUM transactions for user_id=3826,0.04645176222525433,48,2
SUM transactions for user_id=2599,0.03628575594534992,20,2
SUM transactions for user_id=2599,0.030774858701645685,20,2
SUM transactions for user_id=2599,0.0388572364316144,20,2
SUM transactions for user_id=8976,0.03469075482977845,13,2
SUM transactions for user_id=8976,0.03560860640480401,13,2
SUM transactions for user_id=8976,0.041950384524553005,13,2
SUM transactions for user_id=8258,0.03839876016987387,38,2
SUM transactions for user_id=8258,0.03878028749796188,38,2
SUM transactions for user_id=8258,0.03770950325793393,38,2
SUM transactions for user_id=7914,0.034977283463786014,38,2
SUM transactions for user_id=7914,0.041458408393883914,38,2
SUM transactions for user_id=7914,0.03851998688485008,38,2
SUM transactions for user_id=3047,0.02761525230392696,37,2
SUM transactions for user_id=3047,0.0383581900631167,37,2
SUM transactions for user_id=3047,0.0370706126979642,37,2
SUM transactions for user_id=5832,0.02817654310371802,49,2
SUM transactions for user_id=5832,0.02968351628479275,49,2
SUM transactions for user_id=5832,0.03917923807252754,49,2
SUM transactions for user_id=3756,0.03834871217493624,5,2
SUM transactions for user_id=3756,0.029407183447650167,5,2
SUM transactions for user_id=3756,0.03713579328397618,5,2
SUM transactions for user_id=5477,0.03381518653834861,14,2
SUM transactions for user_id=5477,0.029000803469998355,14,2
SUM transactions for user_id=5477,0.033196169098382564,14,2
SUM transactions for user_id=2390,0.032435241921927115,29,2
SUM transactions for user_id=2390,0.030346260513288467,29,2
SUM transactions for user_id=2390,0.03452255350523527,29,2
SUM transactions for user_id=1625,0.025755558906607856,19,2
SUM transactions for user_id=1625,0.038182494990149904,19,2
SUM transactions for user_id=1625,0.03649267220390893,19,2
SUM transactions for user_id=7579,0.029412205205157825,6,2
SUM transactions for user_id=7579,0.03190442479313056,6,2
SUM transactions for user_id=7579,0.035122928681804576,6,2
SUM transactions for user_id=8605,0.030332782009264217,34,2
SUM transactions for user_id=8605,0.028639725422116583,34,2
SUM transactions for user_id=8605,0.029687143981256083,34,2
SUM transactions for user_id=6176,0.02432783446624471,24,2
SUM transactions for user_id=6176,0.03433197300394823,24,2
SUM transactions for user_id=6176,0.029907778031843565,24,2
SUM transactions for user_id=4442,0.03533213021693639,15,2
SUM transactions for user_id=4442,0.03253064723509855,15,2
SUM transactions for user_id=4442,0.03396832721889745,15,2
SUM transactions for user_id=6939,0.03518256796443628,51,2
SUM transactions for user_id=6939,0.031804804466325366,51,2
SUM transactions for user_id=6939,0.02953386096342842,51,2
SUM transactions for user_id=5531,0.03838870507839092,13,2
SUM transactions for user_id=5531,0.037093518733863275,13,2
SUM transactions for user_id=5531,0.02826351477564617,13,2
SUM transactions for user_id=5192,0.03118602642728877,27,2
SUM transactions for user_id=5192,0.034121521839775605,27,2
SUM transactions for user_id=5192,0.030115084825934835,27,2
SUM transactions for user_id=8673,0.03224544272924947,39,2
SUM transactions for user_id=8673,0.038190340473134944,39,2
SUM transactions for user_id=8673,0.03601460615068759,39,2
SUM transactions for user_id=7623,0.040148272757800856,42,2
SUM transactions for user_id=7623,0.041271309614583404,42,2
SUM transactions for user_id=7623,0.033710839690430955,42,2
SUM transactions for user_id=5133,0.0650113916587778,11,2
SUM transactions for user_id=5133,0.08999079730525567,11,2
SUM transactions for user_id=5133,0.07707374385773387,11,2
SUM transactions for user_id=7806,0.050285532487949446,57,2
SUM transactions for user_id=7806,0.07131944541048454,57,2
SUM transactions for user_id=7806,0.05258019219414791,57,2
SUM transactions for user_id=1165,0.036183397902610326,46,2
SUM transactions for user_id=1165,0.026935416832342133,46,2
SUM transactions for user_id=1165,0.03202530129906319,46,2
SUM transactions for user_id=7256,0.03219219552203017,50,2
SUM transactions for user_id=7256,0.02813945713151813,50,2
SUM transactions for user_id=7256,0.028912005132218088,50,2
SUM transactions for user_id=2589,0.03163781933139862,32,2
SUM transactions for user_id=2589,0.02393808025754154,32,2
SUM transactions for user_id=2589,0.030300414185939487,32,2
SUM transactions for user_id=3207,0.026816696151796566,12,2
SUM transactions for user_id=3207,0.033497790623839785,12,2
SUM transactions for user_id=3207,0.02805770144304753,12,2
SUM transactions for user_id=1656,0.027318832403320822,19,2
SUM transactions for user_id=1656,0.029623452629597462,19,2
SUM transactions for user_id=1656,0.02397220576179245,19,2
SUM transactions for user_id=5976,0.033506457794525095,40,2
SUM transactions for user_id=5976,0.023484864935760182,40,2
SUM transactions for user_id=5976,0.029767532216970764,40,2
SUM transactions for user_id=9666,0.02322922426007374,39,2
SUM transactions for user_id=9666,0.025053857135653126,39,2
SUM transactions for user_id=9666,0.02944220384644589,39,2
SUM transactions for user_id=641,0.03078314754721861,32,2
SUM transactions for user_id=641,0.031470889045627705,32,2
SUM transactions for user_id=641,0.029483180728117907,32,2
SUM transactions for user_id=6293,0.02446498387168115,9,2
SUM transactions for user_id=6293,0.027983271938384225,9,2
SUM transactions for user_id=6293,0.02353543685560628,9,2
SUM transactions for user_id=8228,0.02157001842517672,37,2
SUM transactions for user_id=8228,0.0289202071360483,37,2
SUM transactions for user_id=8228,0.023287294996628818,37,2
SUM transactions for user_id=9723,0.028941330157799563,31,2
SUM transactions for user_id=9723,0.026163426420367,31,2
SUM transactions for user_id=9723,0.03262305480457963,31,2
SUM transactions for user_id=8031,0.03052205962207024,15,2
SUM transactions for user_id=8031,0.025350783724798376,15,2
SUM transactions for user_id=8031,0.02482548721846039,15,2
SUM transactions for user_id=3014,0.020685587562560653,45,2
SUM transactions for user_id=3014,0.02099819171702735,45,2
SUM transactions for user_id=3014,0.027036461996281864,45,2
SUM transactions for user_id=3665,0.028035225971454324,23,2
SUM transactions for user_id=3665,0.024579901744154427,23,2
SUM transactions for user_id=3665,0.02963843327916531,23,2
SUM transactions for user_id=6145,0.02879660533267784,14,2
SUM transactions for user_id=6145,0.0217423739981615,14,2
SUM transactions for user_id=6145,0.027476985762689744,14,2
SUM transactions for user_id=1636,0.029934998739120155,6,2
SUM transactions for user_id=1636,0.028009937646658014,6,2
SUM transactions for user_id=1636,0.025083158081776066,6,2
SUM transactions for user_id=4837,0.031415503856233123,34,2
SUM transactions for user_id=4837,0.03459812043372672,34,2
SUM transactions for user_id=4837,0.027790172969169413,34,2
SUM transactions for user_id=6516,0.029578981527490823,5,2
SUM transactions for user_id=6516,0.03447220143331122,5,2
SUM transactions for user_id=6516,0.03185348852803369,5,2
SUM transactions for user_id=2522,0.03933551408011937,20,2
SUM transactions for user_id=2522,0.0314778458580527,20,2
SUM transactions for user_id=2522,0.034674514389439956,20,2
SUM transactions for user_id=8472,0.042356329455162364,22,2
SUM transactions for user_id=8472,0.037971453586265025,22,2
SUM transactions for user_id=8472,0.03763835182203856,22,2
SUM transactions for user_id=616,0.038455188374916925,17,2
SUM transactions for user_id=616,0.033534815525025324,17,2
SUM transactions for user_id=616,0.03933525558317136,17,2
SUM transactions for user_id=5684,0.023963282265553134,7,2
SUM transactions for user_id=5684,0.029203717127747535,7,2
SUM transactions for user_id=5684,0.028923886163996514,7,2
SUM transactions for user_id=6504,0.027292335861648344,45,2
SUM transactions for user_id=6504,0.031205647975008462,45,2
SUM transactions for user_id=6504,0.031200768469442062,45,2
SUM transactions for user_id=6582,0.03676558890569652,38,2
SUM transactions for user_id=6582,0.026734502340308094,38,2
SUM transactions for user_id=6582,0.03322985280648572,38,2
SUM transactions for user_id=7207,0.03878617312485318,42,2
SUM transactions for user_id=7207,0.033594593665274064,42,2
SUM transactions for user_id=7207,0.031151894603494913,42,2
SUM transactions for user_id=7441,0.030272355763918454,19,2
SUM transactions for user_id=7441,0.029018158882999676,19,2
SUM transactions for user_id=7441,0.04164319290987844,19,2
SUM transactions for user_id=3746,0.035430988609228255,33,2
SUM transactions for user_id=3746,0.03082862938621996,33,2
SUM transactions for user_id=3746,0.03994115045521084,33,2
SUM transactions for user_id=7384,0.02711766530381498,9,2
SUM transactions for user_id=7384,0.037447617240700934,9,2
SUM transactions for user_id=7384,0.02950245152989164,9,2
SUM transactions for user_id=689,0.03147114073789259,17,2
SUM transactions for user_id=689,0.03332589335783411,17,2
SUM transactions for user_id=689,0.03181383098687921,17,2
SUM transactions for user_id=1381,0.03757125985455428,13,2
SUM transactions for user_id=1381,0.036257486879403424,13,2
SUM transactions for user_id=1381,0.03647067483104522,13,2
SUM transactions for user_id=3956,0.03139284881790934,14,2
SUM transactions for user_id=3956,0.0272839368161145,14,2
SUM transactions for user_id=3956,0.037422354437202716,14,2
SUM transactions for user_id=4040,0.03594711813143623,23,2
SUM transactions for user_id=4040,0.02652983239717818,23,2
SUM transactions for user_id=4040,0.03435469099727855,23,2
SUM transactions for user_id=2013,0.03826953177228669,6,2
SUM transactions for user_id=2013,0.04050791075773087,6,2
SUM transactions for user_id=2013,0.031151318106078782,6,2
SUM transactions for user_id=4450,0.030554394878132198,19,2
SUM transactions for user_id=4450,0.03727635698531895,19,2
SUM transactions for user_id=4450,0.032717106888259836,19,2
SUM transactions for user_id=1073,0.0372045975835302,14,2
SUM transactions for user_id=1073,0.03638914383520116,14,2
SUM transactions for user_id=1073,0.03788355474976066,14,2
SUM transactions for user_id=2152,0.044595769928545574,24,2
SUM transactions for user_id=2152,0.04567327581118001,24,2
SUM transactions for user_id=2152,0.04765882259549185,24,2
SUM transactions for user_id=2113,0.04717070213219941,24,2
SUM transactions for user_id=2113,0.0396974368792196,24,2
SUM transactions for user_id=2113,0.044867351943681494,24,2
SUM transactions for user_id=5118,0.03534995995190466,41,2
SUM transactions for user_id=5118,0.04023794739002322,41,2
SUM transactions for user_id=5118,0.04153982953565678,41,2
SUM transactions for user_id=6784,0.03825839624436086,15,2
SUM transactions for user_id=6784,0.03536828994412468,15,2
SUM transactions for user_id=6784,0.0399653522680834,15,2
SUM transactions for user_id=5604,0.04559616379214986,36,2
SUM transactions for user_id=5604,0.04204946881109519,36,2
SUM transactions for user_id=5604,0.04950099920817654,36,2
SUM transactions for user_id=6859,0.0393220418942068,51,2
SUM transactions for user_id=6859,0.038771804506322116,51,2
SUM transactions for user_id=6859,0.048577016693685984,51,2
SUM transactions for user_id=7701,0.04118906790464341,20,2
SUM transactions for user_id=7701,0.03290301600270405,20,2
SUM transactions for user_id=7701,0.04711848850984983,20,2
SUM transactions for user_id=8399,0.032727420387391265,43,2
SUM transactions for user_id=8399,0.034751754338028275,43,2
SUM transactions for user_id=8399,0.034898838607439246,43,2
SUM transactions for user_id=7116,0.03741644961026994,19,2
SUM transactions for user_id=7116,0.035951261067511855,19,2
SUM transactions for user_id=7116,0.03650123080361881,19,2
SUM transactions for user_id=9993,0.04325007649879239,47,2
SUM transactions for user_id=9993,0.04571627705365807,47,2
SUM transactions for user_id=9993,0.034378989522686546,47,2
SUM transactions for user_id=7689,0.03752540451723745,13,2
SUM transactions for user_id=7689,0.033950651609955994,13,2
SUM transactions for user_id=7689,0.04261090362175757,13,2
SUM transactions for user_id=1336,0.04137314586129113,28,2
SUM transactions for user_id=1336,0.03588613118360766,28,2
SUM transactions for user_id=1336,0.04496059509165934,28,2
SUM transactions for user_id=1935,0.043286979368140945,19,2
SUM transactions for user_id=1935,0.03301690692686832,19,2
SUM transactions for user_id=1935,0.03955685236059543,19,2
SUM transactions for user_id=2673,0.038732610991176294,17,2
SUM transactions for user_id=2673,0.037020714284669416,17,2
SUM transactions for user_id=2673,0.046728859335223236,17,2
SUM transactions for user_id=3362,0.03805918962494355,25,2
SUM transactions for user_id=3362,0.048587274395162916,25,2
SUM transactions for user_id=3362,0.05035751793572254,25,2
SUM transactions for user_id=2753,0.04521736569020093,29,2
SUM transactions for user_id=2753,0.03894657502887366,29,2
SUM transactions for user_id=2753,0.051838488975419,29,2
SUM transactions for user_id=7016,0.04296196319508924,21,2
SUM transactions for user_id=7016,0.03458833195053085,21,2
SUM transactions for user_id=7016,0.03927506961427083,21,2
SUM transactions for user_id=5671,0.03336259880173027,48,2
SUM transactions for user_id=5671,0.046142039042647916,48,2
SUM transactions for user_id=5671,0.03490831047367685,48,2
SUM transactions for user_id=8979,0.055569656944689134,47,2
SUM transactions for user_id=8979,0.04116348693399741,47,2
SUM transactions for user_id=8979,0.05467559430498542,47,2
SUM transactions for user_id=182,0.034628433877660826,41,2
SUM transactions for user_id=182,0.03761793194337247,41,2
SUM transactions for user_id=182,0.03693100270608227,41,2
SUM transactions for user_id=7567,0.029215315885825,10,2
SUM transactions for user_id=7567,0.03162809410119535,10,2
SUM transactions for user_id=7567,0.03419397123840277,10,2
SUM transactions for user_id=49,0.038239561086243275,23,2
SUM transactions for user_id=49,0.03446099260892129,23,2
SUM transactions for user_id=49,0.04045036249798128,23,2
SUM transactions for user_id=9312,0.02445288445649805,23,2
SUM transactions for user_id=9312,0.030612493382587695,23,2
SUM transactions for user_id=9312,0.030339533567461937,23,2
SUM transactions for user_id=9595,0.0320508985854641,5,2
SUM transactions for user_id=9595,0.03793764950053153,5,2
SUM transactions for user_id=9595,0.03508798195083406,5,2
SUM transactions for user_id=1845,0.034316953040714825,38,2
SUM transactions for user_id=1845,0.0411444284320737,38,2
SUM transactions for user_id=1845,0.033876861276910114,38,2
SUM transactions for user_id=6597,0.048178032113998646,30,2
SUM transactions for user_id=6597,0.03687086964477714,30,2
SUM transactions for user_id=6597,0.03614378736145291,30,2
SUM transactions for user_id=9927,0.037858480394492515,32,2
SUM transactions for user_id=9927,0.03146807334682143,32,2
SUM transactions for user_id=9927,0.03605067857631502,32,2
SUM transactions for user_id=2531,0.037296831105500555,43,2
SUM transactions for user_id=2531,0.044392012693893236,43,2
SUM transactions for user_id=2531,0.03217039113223781,43,2
SUM transactions for user_id=1483,0.04112508113980246,43,2
SUM transactions for user_id=1483,0.036363794657059134,43,2
SUM transactions for user_id=1483,0.037103146177321654,43,2
SUM transactions for user_id=3369,0.04241322795572248,30,2
SUM transactions for user_id=3369,0.03238882124112576,30,2
SUM transactions for user_id=3369,0.04648237759946288,30,2
SUM transactions for user_id=3423,0.0343887519666474,33,2
SUM transactions for user_id=3423,0.042773566626753474,33,2
SUM transactions for user_id=3423,0.04338125638450217,33,2
SUM transactions for user_id=8246,0.050203421491734096,19,2
SUM transactions for user_id=8246,0.04196443429254182,19,2
SUM transactions for user_id=8246,0.04880493718851301,19,2
SUM transactions for user_id=9180,0.038605282239627836,50,2
SUM transactions for user_id=9180,0.037336178358862694,50,2
SUM transactions for user_id=9180,0.03676617285090841,50,2
SUM transactions for user_id=1147,0.03934591811682312,26,2
SUM transactions for user_id=1147,0.04254686510028946,26,2
SUM transactions for user_id=1147,0.039067028547614395,26,2
SUM transactions for user_id=6547,0.03384934838900707,8,2
SUM transactions for user_id=6547,0.031490187615319847,8,2
SUM transactions for user_id=6547,0.03736498026924577,8,2
SUM transactions for user_id=5988,0.03413842849670667,26,2
SUM transactions for user_id=5988,0.036121752122211186,26,2
SUM transactions for user_id=5988,0.039137765432459594,26,2
SUM transactions for user_id=1783,0.033677421898019894,7,2
SUM transactions for user_id=1783,0.03525440104430579,7,2
SUM transactions for user_id=1783,0.029416910380896517,7,2
SUM transactions for user_id=6364,0.030778106239125066,5,2
SUM transactions for user_id=6364,0.026764544823780063,5,2
SUM transactions for user_id=6364,0.029589018807949036,5,2
SUM transactions for user_id=4342,0.026090979403145063,12,2
SUM transactions for user_id=4342,0.03274836495338961,12,2
SUM transactions for user_id=4342,0.029957230636205326,12,2
SUM transactions for user_id=8371,0.02500911730997954,19,2
SUM transactions for user_id=8371,0.027795427875585848,19,2
SUM transactions for user_id=8371,0.025067913174655874,19,2
SUM transactions for user_id=1293,0.037348393910351226,49,2
SUM transactions for user_id=1293,0.03339772690135591,49,2
SUM transactions for user_id=1293,0.0262416061311398,49,2
SUM transactions for user_id=5942,0.036519328160644904,26,2
SUM transactions for user_id=5942,0.029981488438202353,26,2
SUM transactions for user_id=5942,0.034109039026410055,26,2
SUM transactions for user_id=1807,0.03187583881865671,12,2
SUM transactions for user_id=1807,0.03143600397180853,12,2
SUM transactions for user_id=1807,0.028492905665277204,12,2
SUM transactions for user_id=5859,0.031922806090068194,14,2
SUM transactions for user_id=5859,0.03976205464126122,14,2
SUM transactions for user_id=5859,0.03849157759701529,14,2
SUM transactions for user_id=2463,0.02631048191706423,47,2
SUM transactions for user_id=2463,0.03616120194131442,47,2
SUM transactions for user_id=2463,0.027165635545780886,47,2
SUM transactions for user_id=8363,0.02930107732077787,24,2
SUM transactions for user_id=8363,0.0410120913077541,24,2
SUM transactions for user_id=8363,0.028343490655942563,24,2
SUM transactions for user_id=1169,0.03265785239920374,7,2
SUM transactions for user_id=1169,0.029245147908680196,7,2
SUM transactions for user_id=1169,0.03522149989046572,7,2
SUM transactions for user_id=2540,0.03105060839778879,13,2
SUM transactions for user_id=2540,0.03001744770770689,13,2
SUM transactions for user_id=2540,0.02750614461833664,13,2
SUM transactions for user_id=2897,0.031950165771734304,18,2
SUM transactions for user_id=2897,0.041344229464538355,18,2
SUM transactions for user_id=2897,0.03041195452517118,18,2
SUM transactions for user_id=5061,0.03145413578457155,18,2
SUM transactions for user_id=5061,0.030471180712969784,18,2
SUM transactions for user_id=5061,0.032352443736225533,18,2
SUM transactions for user_id=1867,0.04309426996226494,32,2
SUM transactions for user_id=1867,0.036949588976886105,32,2
SUM transactions for user_id=1867,0.04104730793734289,32,2
SUM transactions for user_id=9731,0.03507407762026876,18,2
SUM transactions for user_id=9731,0.03220704715079481,18,2
SUM transactions for user_id=9731,0.03205201403499176,18,2
SUM transactions for user_id=6877,0.030564438985124835,37,2
SUM transactions for user_id=6877,0.03681705951551086,37,2
