query,query_time,rows_examined
SUM transactions for account_id=17815,0.0,13
SUM transactions for account_id=5928,0.0010428428649902344,19
SUM transactions for account_id=12301,0.001630544662475586,18
SUM transactions for account_id=10450,0.0,11
SUM transactions for account_id=10943,0.0009303092956542969,10
SUM transactions for account_id=18767,0.0011243820190429688,14
SUM transactions for account_id=8262,0.0,5
SUM transactions for account_id=11500,0.0007905960083007812,10
SUM transactions for account_id=12509,0.0010886192321777344,16
SUM transactions for account_id=4187,0.0007596015930175781,5
SUM transactions for account_id=172,0.00040459632873535156,17
SUM transactions for account_id=9918,0.0005021095275878906,15
SUM transactions for account_id=10648,0.0,10
SUM transactions for account_id=3233,0.0005035400390625,12
SUM transactions for account_id=17439,0.0,5
SUM transactions for account_id=18703,0.0005447864532470703,16
SUM transactions for account_id=10391,0.0005424022674560547,8
SUM transactions for account_id=2820,0.0009682178497314453,18
SUM transactions for account_id=19829,0.0,6
SUM transactions for account_id=9757,0.0005402565002441406,18
SUM transactions for account_id=10795,0.0,18
SUM transactions for account_id=12277,0.0,18
SUM transactions for account_id=10333,0.0,12
SUM transactions for account_id=6588,0.0006470680236816406,13
SUM transactions for account_id=15503,0.0010442733764648438,13
SUM transactions for account_id=5336,0.0005435943603515625,6
SUM transactions for account_id=4489,0.0005087852478027344,10
SUM transactions for account_id=174,0.00044345855712890625,17
SUM transactions for account_id=13502,0.0008065700531005859,10
SUM transactions for account_id=4263,0.0005235671997070312,5
SUM transactions for account_id=10572,0.0013823509216308594,7
SUM transactions for account_id=543,0.0005440711975097656,13
SUM transactions for account_id=15453,0.0008807182312011719,8
SUM transactions for account_id=13142,0.000736236572265625,13
SUM transactions for account_id=9791,0.0005507469177246094,6
SUM transactions for account_id=10669,0.0004718303680419922,16
SUM transactions for account_id=5437,0.0,18
SUM transactions for account_id=5380,0.0015475749969482422,14
SUM transactions for account_id=9609,0.0,18
SUM transactions for account_id=7383,0.0,9
SUM transactions for account_id=7279,0.0005068778991699219,15
SUM transactions for account_id=8636,0.0007216930389404297,11
SUM transactions for account_id=16325,0.0006573200225830078,12
SUM transactions for account_id=65,0.0005908012390136719,8
SUM transactions for account_id=19461,0.0010061264038085938,9
SUM transactions for account_id=12236,0.0005686283111572266,15
SUM transactions for account_id=7912,0.001007080078125,19
SUM transactions for account_id=7022,0.0,9
SUM transactions for account_id=17891,0.0005061626434326172,8
SUM transactions for account_id=17950,0.0008645057678222656,18
SUM transactions for account_id=7480,0.0005083084106445312,17
SUM transactions for account_id=5431,0.0014939308166503906,15
SUM transactions for account_id=15060,0.0005350112915039062,16
SUM transactions for account_id=1464,0.0,6
SUM transactions for account_id=4266,0.0015151500701904297,19
SUM transactions for account_id=16829,0.0005068778991699219,16
SUM transactions for account_id=13937,0.0007734298706054688,8
SUM transactions for account_id=12651,0.001111745834350586,13
SUM transactions for account_id=9527,0.0,10
SUM transactions for account_id=9060,0.0006711483001708984,8
SUM transactions for account_id=8291,0.0005388259887695312,16
SUM transactions for account_id=5212,0.001009225845336914,11
SUM transactions for account_id=9198,0.0005095005035400391,18
SUM transactions for account_id=15547,0.0,9
SUM transactions for account_id=9542,0.0005104541778564453,14
SUM transactions for account_id=12230,0.0,11
SUM transactions for account_id=14412,0.0005466938018798828,17
SUM transactions for account_id=9753,0.001039743423461914,16
SUM transactions for account_id=4962,0.0,9
SUM transactions for account_id=7832,0.0005483627319335938,12
SUM transactions for account_id=16656,0.0005078315734863281,14
SUM transactions for account_id=18459,0.0005095005035400391,5
SUM transactions for account_id=14030,0.0010118484497070312,6
SUM transactions for account_id=6456,0.0006468296051025391,11
SUM transactions for account_id=2112,0.0,13
SUM transactions for account_id=13375,0.00037288665771484375,14
SUM transactions for account_id=8964,0.0005514621734619141,11
SUM transactions for account_id=9862,0.0005533695220947266,16
SUM transactions for account_id=11583,0.0005555152893066406,8
SUM transactions for account_id=17506,0.0010089874267578125,5
SUM transactions for account_id=10143,0.0005066394805908203,14
SUM transactions for account_id=17608,0.0006647109985351562,16
SUM transactions for account_id=6797,0.0005483627319335938,15
SUM transactions for account_id=8251,0.0007486343383789062,20
SUM transactions for account_id=4922,0.0010483264923095703,9
SUM transactions for account_id=12706,0.0006837844848632812,16
SUM transactions for account_id=2929,0.001007080078125,7
SUM transactions for account_id=10864,0.0008437633514404297,8
SUM transactions for account_id=18865,0.0010521411895751953,5
SUM transactions for account_id=1167,0.001010894775390625,17
SUM transactions for account_id=8041,0.0010421276092529297,10
SUM transactions for account_id=17567,0.0015256404876708984,18
SUM transactions for account_id=553,0.0005090236663818359,13
SUM transactions for account_id=9415,0.0007603168487548828,10
SUM transactions for account_id=8525,0.0010080337524414062,6
SUM transactions for account_id=1257,0.00033402442932128906,17
SUM transactions for account_id=6526,0.001165151596069336,15
SUM transactions for account_id=7929,0.0014209747314453125,19
SUM transactions for account_id=8660,0.0,8
SUM transactions for account_id=19733,0.000431060791015625,7
SUM transactions for account_id=18721,0.0004146099090576172,9
SUM transactions for account_id=12832,0.0,11
SUM transactions for account_id=3156,0.001035451889038086,13
SUM transactions for account_id=18709,0.000972747802734375,20
SUM transactions for account_id=8479,0.0009379386901855469,7
SUM transactions for account_id=18457,0.0012941360473632812,13
SUM transactions for account_id=2858,0.0,8
SUM transactions for account_id=10925,0.0007853507995605469,14
SUM transactions for account_id=4364,0.0008463859558105469,13
SUM transactions for account_id=7006,0.0,15
SUM transactions for account_id=5517,0.0010080337524414062,18
SUM transactions for account_id=8421,0.0005204677581787109,16
SUM transactions for account_id=2472,0.0010073184967041016,13
SUM transactions for account_id=12561,0.0005168914794921875,8
SUM transactions for account_id=15874,0.0005061626434326172,12
SUM transactions for account_id=8588,0.0005056858062744141,15
SUM transactions for account_id=5970,0.0010075569152832031,14
SUM transactions for account_id=19690,0.0005316734313964844,19
SUM transactions for account_id=1304,0.0010063648223876953,16
SUM transactions for account_id=13027,0.0005102157592773438,13
SUM transactions for account_id=10932,0.0005524158477783203,11
SUM transactions for account_id=2124,0.0007205009460449219,8
SUM transactions for account_id=14397,0.0,16
SUM transactions for account_id=1773,0.0,10
SUM transactions for account_id=18915,0.0007243156433105469,19
SUM transactions for account_id=2269,0.0006926059722900391,7
SUM transactions for account_id=13425,0.0,11
SUM transactions for account_id=1388,0.0006375312805175781,16
SUM transactions for account_id=19239,0.0,16
SUM transactions for account_id=9874,0.0005066394805908203,16
SUM transactions for account_id=5003,0.0005104541778564453,15
SUM transactions for account_id=6208,0.0005536079406738281,7
SUM transactions for account_id=16098,0.0005512237548828125,13
SUM transactions for account_id=6357,0.0010068416595458984,18
SUM transactions for account_id=15396,0.0005514621734619141,13
SUM transactions for account_id=12311,0.0015299320220947266,5
SUM transactions for account_id=17632,0.0005099773406982422,15
SUM transactions for account_id=9370,0.0012845993041992188,18
SUM transactions for account_id=543,0.0012960433959960938,13
SUM transactions for account_id=14761,0.0,7
SUM transactions for account_id=11023,0.0,20
SUM transactions for account_id=5356,0.0007703304290771484,18
SUM transactions for account_id=6447,0.0005767345428466797,20
SUM transactions for account_id=8419,0.0,15
SUM transactions for account_id=1053,0.0004904270172119141,5
SUM transactions for account_id=19470,0.0006263256072998047,5
SUM transactions for account_id=17298,0.0005352497100830078,16
SUM transactions for account_id=13931,0.0008182525634765625,18
SUM transactions for account_id=10633,0.0,19
SUM transactions for account_id=10089,0.000644683837890625,15
SUM transactions for account_id=2295,0.0005102157592773438,8
SUM transactions for account_id=868,0.0010058879852294922,12
SUM transactions for account_id=18418,0.0007696151733398438,8
SUM transactions for account_id=4194,0.0007202625274658203,11
SUM transactions for account_id=19454,0.0,16
SUM transactions for account_id=1704,0.0,20
SUM transactions for account_id=8518,0.0006403923034667969,10
SUM transactions for account_id=7201,0.0,6
SUM transactions for account_id=12482,0.0009207725524902344,17
SUM transactions for account_id=12156,0.0010898113250732422,13
SUM transactions for account_id=16182,0.0010073184967041016,16
SUM transactions for account_id=4959,0.0006906986236572266,17
SUM transactions for account_id=9836,0.0005850791931152344,14
SUM transactions for account_id=8690,0.0005815029144287109,7
SUM transactions for account_id=14228,0.0005342960357666016,11
SUM transactions for account_id=11663,0.0005052089691162109,11
SUM transactions for account_id=16913,0.0008199214935302734,14
SUM transactions for account_id=2791,0.0011582374572753906,20
SUM transactions for account_id=3401,0.0005056858062744141,16
SUM transactions for account_id=821,0.0010068416595458984,12
SUM transactions for account_id=3093,0.0006401538848876953,9
SUM transactions for account_id=4784,0.0,17
SUM transactions for account_id=8959,0.0007879734039306641,13
SUM transactions for account_id=12431,0.0010111331939697266,10
SUM transactions for account_id=3387,0.0,11
SUM transactions for account_id=725,0.0012848377227783203,16
SUM transactions for account_id=10499,0.0010089874267578125,12
SUM transactions for account_id=6639,0.0013432502746582031,6
SUM transactions for account_id=16660,0.0,9
SUM transactions for account_id=16231,0.0,16
SUM transactions for account_id=10277,0.0005049705505371094,6
SUM transactions for account_id=17811,0.0009753704071044922,8
SUM transactions for account_id=16469,0.0007379055023193359,17
SUM transactions for account_id=13590,0.0,15
SUM transactions for account_id=7013,0.0005712509155273438,17
SUM transactions for account_id=4609,0.0005631446838378906,17
SUM transactions for account_id=18602,0.0007569789886474609,15
SUM transactions for account_id=12965,0.00047707557678222656,9
SUM transactions for account_id=10850,0.0005154609680175781,12
SUM transactions for account_id=18778,0.000904083251953125,20
SUM transactions for account_id=268,0.0,12
SUM transactions for account_id=1846,0.0015611648559570312,15
SUM transactions for account_id=11689,0.0,17
SUM transactions for account_id=13035,0.0006403923034667969,17
SUM transactions for account_id=465,0.0005071163177490234,7
SUM transactions for account_id=17994,0.0013852119445800781,17
SUM transactions for account_id=3384,0.000598907470703125,12
SUM transactions for account_id=14348,0.0010056495666503906,18
SUM transactions for account_id=6453,0.0,11
SUM transactions for account_id=6084,0.001104116439819336,18
SUM transactions for account_id=14303,0.0,12
SUM transactions for account_id=16449,0.0,9
SUM transactions for account_id=2556,0.0005366802215576172,8
SUM transactions for account_id=9720,0.0005397796630859375,18
SUM transactions for account_id=2884,0.0005080699920654297,20
SUM transactions for account_id=2127,0.0005059242248535156,10
SUM transactions for account_id=7029,0.0,10
SUM transactions for account_id=19444,0.0007798671722412109,15
SUM transactions for account_id=15383,0.0,17
SUM transactions for account_id=3376,0.0005371570587158203,8
SUM transactions for account_id=18652,0.0,8
SUM transactions for account_id=11146,0.00112152099609375,15
SUM transactions for account_id=14928,0.0011584758758544922,8
SUM transactions for account_id=1350,0.0005092620849609375,7
SUM transactions for account_id=2505,0.0010113716125488281,13
SUM transactions for account_id=5229,0.0005195140838623047,7
SUM transactions for account_id=3003,0.0006656646728515625,6
SUM transactions for account_id=4543,0.0010101795196533203,5
SUM transactions for account_id=6920,0.0010075569152832031,16
SUM transactions for account_id=13058,0.0007994174957275391,10
SUM transactions for account_id=4371,0.0007336139678955078,6
SUM transactions for account_id=1632,0.0,7
SUM transactions for account_id=149,0.000667572021484375,7
SUM transactions for account_id=10333,0.0,12
SUM transactions for account_id=13750,0.002138376235961914,11
SUM transactions for account_id=5901,0.0007319450378417969,11
SUM transactions for account_id=11250,0.0010089874267578125,13
SUM transactions for account_id=6193,0.001207113265991211,13
SUM transactions for account_id=5162,0.001046895980834961,12
SUM transactions for account_id=11365,0.0,17
SUM transactions for account_id=6486,0.0010907649993896484,8
SUM transactions for account_id=4351,0.0,19
SUM transactions for account_id=17968,0.0005056858062744141,15
SUM transactions for account_id=1322,0.0,15
SUM transactions for account_id=11935,0.0,16
SUM transactions for account_id=15424,0.0,5
SUM transactions for account_id=4117,0.0007596015930175781,13
SUM transactions for account_id=19481,0.0010485649108886719,14
SUM transactions for account_id=8778,0.0008537769317626953,6
SUM transactions for account_id=10581,0.0,18
SUM transactions for account_id=7514,0.0009989738464355469,16
SUM transactions for account_id=4424,0.0005075931549072266,14
SUM transactions for account_id=12329,0.0005068778991699219,16
SUM transactions for account_id=2079,0.0,17
SUM transactions for account_id=16526,0.0,15
SUM transactions for account_id=1579,0.0,19
SUM transactions for account_id=18246,0.0007495880126953125,7
SUM transactions for account_id=5435,0.0012493133544921875,18
SUM transactions for account_id=11534,0.0005202293395996094,16
SUM transactions for account_id=14487,0.0010118484497070312,8
SUM transactions for account_id=7197,0.0006771087646484375,18
SUM transactions for account_id=17971,0.0010051727294921875,6
SUM transactions for account_id=17362,0.0011301040649414062,13
SUM transactions for account_id=12467,0.00047016143798828125,14
SUM transactions for account_id=8462,0.0010058879852294922,19
SUM transactions for account_id=15188,0.0010101795196533203,16
SUM transactions for account_id=15080,0.0010075569152832031,8
SUM transactions for account_id=18256,0.0007424354553222656,6
SUM transactions for account_id=6591,0.0006022453308105469,15
SUM transactions for account_id=6335,0.0,11
SUM transactions for account_id=4366,0.0006868839263916016,19
SUM transactions for account_id=8759,0.0010557174682617188,5
SUM transactions for account_id=12731,0.0009937286376953125,5
SUM transactions for account_id=9942,0.00146484375,14
SUM transactions for account_id=17974,0.0005571842193603516,11
SUM transactions for account_id=2439,0.0005571842193603516,18
SUM transactions for account_id=6635,0.0005075931549072266,20
SUM transactions for account_id=6324,0.0010480880737304688,18
SUM transactions for account_id=4609,0.0007605552673339844,17
SUM transactions for account_id=6054,0.0010488033294677734,10
SUM transactions for account_id=3529,0.0011577606201171875,18
SUM transactions for account_id=16127,0.0005517005920410156,16
SUM transactions for account_id=18270,0.001005411148071289,12
SUM transactions for account_id=7099,0.00034499168395996094,14
SUM transactions for account_id=3734,0.0,5
SUM transactions for account_id=7731,0.0,10
SUM transactions for account_id=13304,0.0005085468292236328,17
SUM transactions for account_id=19726,0.0005528926849365234,12
SUM transactions for account_id=14447,0.0010066032409667969,7
SUM transactions for account_id=12171,0.00048160552978515625,6
SUM transactions for account_id=10312,0.0,14
SUM transactions for account_id=6189,0.0005064010620117188,5
SUM transactions for account_id=12787,0.0005078315734863281,13
SUM transactions for account_id=8326,0.0005056858062744141,5
SUM transactions for account_id=11027,0.0005054473876953125,6
SUM transactions for account_id=8323,0.0006642341613769531,13
SUM transactions for account_id=8418,0.0005068778991699219,7
SUM transactions for account_id=84,0.0,14
SUM transactions for account_id=18446,0.0,10
SUM transactions for account_id=10303,0.0005064010620117188,15
SUM transactions for account_id=15528,0.0007190704345703125,13
SUM transactions for account_id=10455,0.0006213188171386719,8
SUM transactions for account_id=17427,0.0006787776947021484,7
SUM transactions for account_id=3771,0.000518798828125,10
SUM transactions for account_id=3270,0.0010116100311279297,5
SUM transactions for account_id=7573,0.0010004043579101562,10
SUM transactions for account_id=2086,0.0008494853973388672,15
SUM transactions for account_id=8301,0.0010077953338623047,8
SUM transactions for account_id=11831,0.0009272098541259766,8
SUM transactions for account_id=1685,0.0006568431854248047,14
SUM transactions for account_id=4366,0.0009438991546630859,19
SUM transactions for account_id=18315,0.0,5
SUM transactions for account_id=7681,0.0015153884887695312,5
SUM transactions for account_id=15327,0.0005106925964355469,14
SUM transactions for account_id=9504,0.0010113716125488281,17
SUM transactions for account_id=14791,0.0005099773406982422,11
SUM transactions for account_id=15511,0.0005972385406494141,14
SUM transactions for account_id=836,0.0007684230804443359,9
SUM transactions for account_id=8601,0.0005478858947753906,16
SUM transactions for account_id=6378,0.0010099411010742188,10
SUM transactions for account_id=5278,0.0005388259887695312,13
SUM transactions for account_id=1581,0.0005571842193603516,10
SUM transactions for account_id=5174,0.00054931640625,8
SUM transactions for account_id=11447,0.0007693767547607422,18
SUM transactions for account_id=9267,0.0014224052429199219,7
SUM transactions for account_id=321,0.0008385181427001953,8
SUM transactions for account_id=15058,0.0,15
SUM transactions for account_id=14409,0.0,19
SUM transactions for account_id=4551,0.0005881786346435547,18
SUM transactions for account_id=1259,0.0,5
SUM transactions for account_id=9804,0.0008733272552490234,11
SUM transactions for account_id=888,0.0010113716125488281,15
SUM transactions for account_id=3424,0.0005056858062744141,5
SUM transactions for account_id=17754,0.0005054473876953125,8
SUM transactions for account_id=12556,0.001007080078125,8
SUM transactions for account_id=6061,0.0006892681121826172,10
SUM transactions for account_id=362,0.0005054473876953125,16
SUM transactions for account_id=146,0.0010063648223876953,9
SUM transactions for account_id=18541,0.0005452632904052734,20
SUM transactions for account_id=643,0.0,7
SUM transactions for account_id=2058,0.0,9
SUM transactions for account_id=19909,0.0007052421569824219,19
SUM transactions for account_id=10522,0.001007080078125,17
SUM transactions for account_id=13817,0.0006814002990722656,9
SUM transactions for account_id=13647,0.0,6
SUM transactions for account_id=10264,0.000553131103515625,16
SUM transactions for account_id=2561,0.0005517005920410156,14
SUM transactions for account_id=15211,0.0,10
SUM transactions for account_id=18516,0.0006525516510009766,11
SUM transactions for account_id=10349,0.0,13
SUM transactions for account_id=13798,0.0,5
SUM transactions for account_id=7440,0.0005495548248291016,7
SUM transactions for account_id=8135,0.0009706020355224609,5
SUM transactions for account_id=9813,0.0009145736694335938,14
SUM transactions for account_id=6007,0.0005862712860107422,20
SUM transactions for account_id=5646,0.0005447864532470703,16
SUM transactions for account_id=16246,0.0,19
SUM transactions for account_id=12046,0.0,20
SUM transactions for account_id=15719,0.0006392002105712891,8
SUM transactions for account_id=12028,0.0,10
SUM transactions for account_id=18894,0.0005092620849609375,15
SUM transactions for account_id=8036,0.0,18
SUM transactions for account_id=7791,0.0005054473876953125,10
SUM transactions for account_id=12433,0.0,18
SUM transactions for account_id=12932,0.0,13
SUM transactions for account_id=10271,0.0005960464477539062,15
SUM transactions for account_id=17176,0.0010077953338623047,5
SUM transactions for account_id=8499,0.0005092620849609375,20
SUM transactions for account_id=17267,0.0008924007415771484,19
SUM transactions for account_id=5224,0.0,11
SUM transactions for account_id=15279,0.0015251636505126953,12
SUM transactions for account_id=14873,0.0007750988006591797,5
SUM transactions for account_id=2382,0.0005071163177490234,6
SUM transactions for account_id=1691,0.0008840560913085938,17
SUM transactions for account_id=1991,0.0,5
SUM transactions for account_id=11947,0.0,10
SUM transactions for account_id=13662,0.0006871223449707031,20
SUM transactions for account_id=14599,0.0011708736419677734,18
SUM transactions for account_id=9003,0.0010056495666503906,12
SUM transactions for account_id=15459,0.0007791519165039062,6
SUM transactions for account_id=6896,0.0,5
SUM transactions for account_id=15565,0.0005469322204589844,12
SUM transactions for account_id=8596,0.0,9
SUM transactions for account_id=17144,0.0020499229431152344,16
SUM transactions for account_id=15771,0.0005133152008056641,14
SUM transactions for account_id=748,0.0006031990051269531,9
SUM transactions for account_id=6740,0.0006690025329589844,6
SUM transactions for account_id=8583,0.0005090236663818359,11
SUM transactions for account_id=13736,0.0005099773406982422,19
SUM transactions for account_id=7971,0.0005102157592773438,8
SUM transactions for account_id=19808,0.0,14
SUM transactions for account_id=3720,0.0005061626434326172,16
SUM transactions for account_id=19245,0.0005624294281005859,12
SUM transactions for account_id=14364,0.0005371570587158203,8
SUM transactions for account_id=1186,0.0009245872497558594,19
SUM transactions for account_id=16867,0.0005011558532714844,6
SUM transactions for account_id=15807,0.0010497570037841797,12
SUM transactions for account_id=3466,0.0005371570587158203,16
SUM transactions for account_id=2519,0.0005397796630859375,10
SUM transactions for account_id=19214,0.0005059242248535156,18
SUM transactions for account_id=9122,0.0005390644073486328,6
SUM transactions for account_id=13038,0.0005056858062744141,8
SUM transactions for account_id=13519,0.0005068778991699219,15
SUM transactions for account_id=19204,0.001041412353515625,15
SUM transactions for account_id=5149,0.0007760524749755859,13
SUM transactions for account_id=13459,0.0005421638488769531,9
SUM transactions for account_id=4785,0.0010123252868652344,11
SUM transactions for account_id=2383,0.0016334056854248047,10
SUM transactions for account_id=4097,0.0005421638488769531,8
SUM transactions for account_id=3182,0.0010714530944824219,13
SUM transactions for account_id=18626,0.0,14
SUM transactions for account_id=5867,0.0005095005035400391,16
SUM transactions for account_id=13701,0.0005288124084472656,10
SUM transactions for account_id=4312,0.0008602142333984375,5
SUM transactions for account_id=5539,0.0004634857177734375,8
SUM transactions for account_id=16751,0.0006575584411621094,20
SUM transactions for account_id=2319,0.0010111331939697266,14
SUM transactions for account_id=17392,0.0,18
SUM transactions for account_id=5200,0.0010619163513183594,11
SUM transactions for account_id=12447,0.0008285045623779297,8
SUM transactions for account_id=1138,0.0005216598510742188,15
SUM transactions for account_id=5600,0.0005068778991699219,13
SUM transactions for account_id=14103,0.0,5
SUM transactions for account_id=16457,0.0006246566772460938,7
SUM transactions for account_id=13611,0.0010077953338623047,7
SUM transactions for account_id=11865,0.0,18
SUM transactions for account_id=9714,0.0005097389221191406,10
SUM transactions for account_id=9519,0.0005059242248535156,13
SUM transactions for account_id=3184,0.0,17
