query,query_time,rows_examined,joins,has_sum,has_group_by,has_where,tables_count,query_length,cpu_usage,memory_usage,is_slow
SUM transactions (simulated missing index),0.0907037286791776,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.1076716696855086,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.1009815765404099,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions for user_id=2667,0.0214178193158072,17,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=2667,0.0290957586575803,17,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=2667,0.0301273408953866,17,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=4356,0.0257416296407937,6,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=4356,0.0263562752783825,6,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=4356,0.0269119471915865,6,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=601,0.0294694444642925,21,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=601,0.0306889886247506,21,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=601,0.0302182878329601,21,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=7335,0.0290316089702794,40,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7335,0.0234537948909915,40,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7335,0.0235777300791723,40,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=1865,0.0245068786424698,9,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=1865,0.0236671067862068,9,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=1865,0.0257185129984999,9,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=2034,0.0215834310168235,12,2,1,1,1,3,33,100.0,190.453125,0
SUM transactions for user_id=2034,0.0224771338629427,12,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=2034,0.0266314222666248,12,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=3420,0.0284542481673675,41,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=3420,0.0241261901603137,41,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=3420,0.0276429168648044,41,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions (simulated missing index),0.071194088051555,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.0748547561226171,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.0981499640364812,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions for user_id=4815,0.020562379439179,28,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=4815,0.0242850985482395,28,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=4815,0.0199653259443975,28,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=4212,0.02284208888831,33,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=4212,0.0264708365502633,33,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=4212,0.0265686834362701,33,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=935,0.021195430832482,8,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=935,0.0299462663285465,8,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=935,0.0306134007379315,8,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=974,0.0229272778439759,16,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=974,0.0258481221296211,16,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=974,0.0207967004262094,16,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=1868,0.0231541953412579,28,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=1868,0.0229689035440157,28,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=1868,0.026789116454533,28,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=9623,0.0262611216966266,21,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=9623,0.031065054560833,21,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=9623,0.0252863585622581,21,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=193,0.0282417832418006,33,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=193,0.0280062634877517,33,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=193,0.0294311090910186,33,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions (simulated missing index),0.0873214596583846,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.0927418532268151,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.1002469904424646,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.0868073810475191,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.0737147408035094,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.090740426594014,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions for user_id=6338,0.0289614683083823,5,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=6338,0.0329670122372985,5,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=6338,0.022587799520303,5,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=2745,0.0285640941198872,51,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=2745,0.0290889332422586,51,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=2745,0.023681793227366,51,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=337,0.0258591923644051,29,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=337,0.0233230229805244,29,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=337,0.0274053147783378,29,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=9767,0.0215208368867265,11,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=9767,0.0266250294398445,11,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=9767,0.0223879137285099,11,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions (simulated missing index),0.0825281242240958,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.1022488039098748,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.1078388486349925,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.0893720193474536,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.0990036990601382,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.081211058899899,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions for user_id=5279,0.0430578354352804,23,2,1,1,1,3,33,0.0,190.453125,1
SUM transactions for user_id=5279,0.0475979677519258,23,2,1,1,1,3,33,0.0,190.453125,1
SUM transactions for user_id=5279,0.046764189581614,23,2,1,1,1,3,33,0.0,190.453125,1
SUM transactions for user_id=5349,0.0270310392902314,12,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=5349,0.0243768431061297,12,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=5349,0.0282551734204612,12,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=2323,0.0213042004965966,27,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=2323,0.0201994183922362,27,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=2323,0.0201631908632514,27,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=523,0.0274078356939504,43,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=523,0.029288357321561,43,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=523,0.0295896526656838,43,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions (simulated missing index),0.1157974735073524,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.1483148677021656,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.1082027937954485,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions for user_id=8853,0.0272242390813668,25,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=8853,0.0234894554542872,25,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=8853,0.026057788585393,25,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=3956,0.0291822278097834,14,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=3956,0.0288125539834275,14,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=3956,0.0237142520163591,14,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=8006,0.0287808712586396,27,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=8006,0.0245914930998466,27,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=8006,0.029067962298555,27,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions (simulated missing index),0.0985894406105786,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.1007405080188347,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.0860919224917055,250188,1,1,1,0,2,42,62.5,190.453125,1
SUM transactions for user_id=5577,0.0238911409246251,19,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=5577,0.0222401781212758,19,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=5577,0.0298392370831017,19,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions (simulated missing index),0.0977793449760488,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.1033443351912162,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.1085632404461055,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions for user_id=7785,0.0302335358949141,44,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7785,0.0349785978961083,44,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7785,0.0274092218182719,44,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7125,0.023217151755204,12,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7125,0.0251394129207707,12,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7125,0.0301359065446509,12,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=227,0.0223809229101818,23,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=227,0.0250359267661161,23,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=227,0.0218820602570541,23,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=1343,0.0228301991214236,30,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=1343,0.0284710466499344,30,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=1343,0.0223781822150852,30,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7986,0.0219289361654078,10,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7986,0.0253802044795623,10,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7986,0.027178238981175,10,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=6083,0.0264042391012591,36,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=6083,0.0261825740557362,36,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=6083,0.0233399983840054,36,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=128,0.0194452943214757,18,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=128,0.0241301159384828,18,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=128,0.0232586298027699,18,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=1413,0.0236325879949542,12,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=1413,0.026662388073776,12,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=1413,0.024085263453158,12,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=2667,0.0256140871602573,17,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=2667,0.0198522310775172,17,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=2667,0.0264544272736408,17,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=5450,0.0234420521695363,46,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=5450,0.0196937976065916,46,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=5450,0.0266401459884553,46,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=3381,0.02838246221242,52,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=3381,0.023996184241447,52,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=3381,0.0225520124146929,52,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=4200,0.0247230791857273,39,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=4200,0.021874045472051,39,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=4200,0.0254216845952482,39,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7019,0.0300139738819373,44,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7019,0.022753564316781,44,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7019,0.0270159230838299,44,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7221,0.0371188519078102,22,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7221,0.0398322993507556,22,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7221,0.035159871565052,22,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=6753,0.0259565445944322,19,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=6753,0.0256860207227058,19,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=6753,0.0234474386954227,19,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=1520,0.0279984275253188,22,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=1520,0.03059463280393,22,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=1520,0.0271467593464065,22,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=8568,0.0267396039526858,29,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=8568,0.027835602744657,29,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=8568,0.0244454116923013,29,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=612,0.026587774029715,27,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=612,0.0313880472905645,27,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=612,0.0243226869251298,27,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=7464,0.025457827765632,10,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7464,0.0214707802475985,10,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7464,0.0292689463066263,10,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=207,0.0298750110599005,5,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=207,0.0313985682297563,5,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=207,0.0261379774778045,5,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=8212,0.0192699727889529,18,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=8212,0.0265223992090521,18,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=8212,0.0251913409822437,18,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7463,0.0210572360225138,44,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7463,0.0248742745736789,44,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7463,0.0231265685969701,44,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions (simulated missing index),0.0920135917623852,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.1102404302379228,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.0845456183357438,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.0846846497947326,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.0965097741997431,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.0827966397762531,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions for user_id=5107,0.0290595295161435,15,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=5107,0.0276902136139328,15,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=5107,0.0271096296223022,15,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=6100,0.0434306196647046,38,2,1,1,1,3,33,0.0,190.453125,1
SUM transactions for user_id=6100,0.0325741211205191,38,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=6100,0.0438113374999159,38,2,1,1,1,3,33,0.0,190.453125,1
SUM transactions for user_id=5751,0.0238680139010983,42,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=5751,0.0296645594692663,42,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=5751,0.0292087322746674,42,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=2115,0.0267709177219896,33,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=2115,0.0281491931330047,33,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=2115,0.0247387973288691,33,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=9372,0.0203621537891074,13,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=9372,0.0247696394202077,13,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=9372,0.0265799084099808,13,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=207,0.027828734732036,5,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=207,0.0279344272132096,5,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=207,0.0296582739467973,5,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=2095,0.0500512414366052,24,2,1,1,1,3,33,0.0,190.453125,1
SUM transactions for user_id=2095,0.0539465747541946,24,2,1,1,1,3,33,0.0,190.453125,1
SUM transactions for user_id=2095,0.037550818291498,24,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7607,0.0294250816742291,27,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7607,0.0235376333832619,27,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7607,0.0203787516143387,27,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions (simulated missing index),0.0938993380278821,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.1051323047923567,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.1009494794323516,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions for user_id=3632,0.029223027970281,8,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=3632,0.0235285473907124,8,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=3632,0.0264618117051734,8,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=4393,0.0263604676165667,47,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=4393,0.0309938102073299,47,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=4393,0.0263894690162236,47,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions (simulated missing index),0.1136897190212316,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.1078006239135161,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.1204001625766229,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions for user_id=6875,0.025596413851123,29,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=6875,0.028212598955966,29,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=6875,0.0193848210734803,29,2,1,1,1,3,33,100.0,190.453125,0
SUM transactions (simulated missing index),0.0735716431042175,250188,1,1,1,0,2,42,66.7,190.453125,1
SUM transactions (simulated missing index),0.0901683706920865,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.0910181280211812,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions for user_id=7363,0.0282647119666883,16,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7363,0.027187026048407,16,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7363,0.0241480845563326,16,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=3245,0.023476780272881,7,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=3245,0.0271182113309749,7,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=3245,0.0263659126557863,7,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=9530,0.0253076297401767,44,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=9530,0.0261455566905709,44,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=9530,0.0351320732255936,44,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=3761,0.0242912168268494,19,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=3761,0.0223437104282642,19,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=3761,0.021558524383445,19,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=5008,0.0307218368341652,22,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=5008,0.0237769376913283,22,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=5008,0.0313957484997582,22,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions (simulated missing index),0.0790712582193665,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.0959388639639683,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.1000544087967692,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions for user_id=8233,0.0285902329595889,46,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=8233,0.0263312051256509,46,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=8233,0.0241737101570082,46,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=2322,0.0257714358044508,29,2,1,1,1,3,33,0.0,190.453125,0
