query,query_time,rows_examined,joins,has_sum,has_group_by,has_where,tables_count,query_length,cpu_usage,memory_usage
SUM transactions (simulated missing index),0.10048823208507292,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.13320577308430626,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions for user_id=4543,0.02516292991388332,34,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=4543,0.026690105605129612,34,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=4543,0.02377822628409062,34,2,1,1,1,3,38,0.0,190.453125
SUM transactions (simulated missing index),0.09070372867917766,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.10767166968550865,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.10098157654040994,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions for user_id=2667,0.021417819315807208,17,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=2667,0.029095758657580396,17,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=2667,0.030127340895386615,17,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=4356,0.025741629640793736,6,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=4356,0.026356275278382562,6,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=4356,0.026911947191586513,6,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=601,0.029469444464292505,21,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=601,0.030688988624750693,21,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=601,0.03021828783296019,21,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7335,0.029031608970279486,40,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7335,0.02345379489099155,40,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7335,0.0235777300791723,40,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=1865,0.02450687864246989,9,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=1865,0.02366710678620684,9,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=1865,0.025718512998499955,9,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=2034,0.021583431016823508,12,2,1,1,1,3,38,100.0,190.453125
SUM transactions for user_id=2034,0.022477133862942776,12,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=2034,0.026631422266624856,12,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=3420,0.028454248167367517,41,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=3420,0.024126190160313758,41,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=3420,0.02764291686480445,41,2,1,1,1,3,38,0.0,190.453125
SUM transactions (simulated missing index),0.07119408805155505,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.07485475612261715,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.09814996403648124,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions for user_id=4815,0.020562379439179063,28,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=4815,0.02428509854823955,28,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=4815,0.0199653259443975,28,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=4212,0.02284208888831,33,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=4212,0.026470836550263308,33,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=4212,0.026568683436270106,33,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=935,0.021195430832482032,8,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=935,0.029946266328546547,8,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=935,0.03061340073793153,8,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=974,0.022927277843975986,16,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=974,0.025848122129621176,16,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=974,0.020796700426209458,16,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=1868,0.023154195341257934,28,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=1868,0.022968903544015724,28,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=1868,0.026789116454533066,28,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=9623,0.026261121696626623,21,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=9623,0.031065054560833086,21,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=9623,0.025286358562258145,21,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=193,0.02824178324180063,33,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=193,0.028006263487751763,33,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=193,0.02943110909101864,33,2,1,1,1,3,38,0.0,190.453125
SUM transactions (simulated missing index),0.08732145965838461,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.09274185322681515,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.1002469904424646,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.08680738104751916,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.0737147408035094,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.09074042659401405,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions for user_id=6338,0.02896146830838239,5,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=6338,0.0329670122372985,5,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=6338,0.022587799520303063,5,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=2745,0.028564094119887272,51,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=2745,0.029088933242258665,51,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=2745,0.023681793227366098,51,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=337,0.025859192364405127,29,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=337,0.02332302298052447,29,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=337,0.027405314778337863,29,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=9767,0.02152083688672651,11,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=9767,0.026625029439844506,11,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=9767,0.02238791372850993,11,2,1,1,1,3,38,0.0,190.453125
SUM transactions (simulated missing index),0.08252812422409588,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.10224880390987486,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.10783884863499257,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.08937201934745366,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.0990036990601382,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.08121105889989907,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions for user_id=5279,0.04305783543528045,23,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=5279,0.04759796775192589,23,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=5279,0.046764189581614046,23,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=5349,0.027031039290231453,12,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=5349,0.024376843106129784,12,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=5349,0.028255173420461202,12,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=2323,0.021304200496596613,27,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=2323,0.020199418392236275,27,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=2323,0.02016319086325146,27,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=523,0.027407835693950496,43,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=523,0.02928835732156107,43,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=523,0.029589652665683856,43,2,1,1,1,3,38,0.0,190.453125
SUM transactions (simulated missing index),0.11579747350735241,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.14831486770216565,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.10820279379544859,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions for user_id=8853,0.027224239081366848,25,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=8853,0.02348945545428725,25,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=8853,0.026057788585393052,25,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=3956,0.029182227809783426,14,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=3956,0.02881255398342758,14,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=3956,0.023714252016359173,14,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=8006,0.0287808712586396,27,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=8006,0.02459149309984662,27,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=8006,0.029067962298555003,27,2,1,1,1,3,38,0.0,190.453125
SUM transactions (simulated missing index),0.09858944061057867,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.10074050801883479,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.08609192249170557,250188,1,1,1,0,2,42,62.5,190.453125
SUM transactions for user_id=5577,0.023891140924625142,19,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=5577,0.02224017812127581,19,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=5577,0.029839237083101763,19,2,1,1,1,3,38,0.0,190.453125
SUM transactions (simulated missing index),0.09777934497604884,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.10334433519121625,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.10856324044610557,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions for user_id=7785,0.0302335358949141,44,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7785,0.034978597896108375,44,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7785,0.027409221818271958,44,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7125,0.023217151755204096,12,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7125,0.025139412920770706,12,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7125,0.0301359065446509,12,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=227,0.02238092291018182,23,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=227,0.02503592676611618,23,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=227,0.021882060257054192,23,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=1343,0.022830199121423676,30,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=1343,0.028471046649934405,30,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=1343,0.022378182215085272,30,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7986,0.021928936165407885,10,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7986,0.025380204479562317,10,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7986,0.02717823898117505,10,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=6083,0.026404239101259122,36,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=6083,0.02618257405573628,36,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=6083,0.023339998384005477,36,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=128,0.019445294321475754,18,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=128,0.02413011593848289,18,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=128,0.02325862980276997,18,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=1413,0.023632587994954275,12,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=1413,0.026662388073776005,12,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=1413,0.024085263453158028,12,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=2667,0.025614087160257384,17,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=2667,0.019852231077517282,17,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=2667,0.026454427273640828,17,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=5450,0.023442052169536348,46,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=5450,0.01969379760659161,46,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=5450,0.026640145988455398,46,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=3381,0.02838246221242002,52,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=3381,0.023996184241447033,52,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=3381,0.02255201241469294,52,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=4200,0.024723079185727335,39,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=4200,0.021874045472051046,39,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=4200,0.025421684595248274,39,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7019,0.03001397388193738,44,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7019,0.022753564316781036,44,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7019,0.02701592308382998,44,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7221,0.03711885190781024,22,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7221,0.039832299350755655,22,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7221,0.03515987156505209,22,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=6753,0.025956544594432255,19,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=6753,0.025686020722705857,19,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=6753,0.023447438695422738,19,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=1520,0.027998427525318854,22,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=1520,0.030594632803930055,22,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=1520,0.02714675934640651,22,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=8568,0.02673960395268587,29,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=8568,0.027835602744657083,29,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=8568,0.024445411692301362,29,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=612,0.02658777402971503,27,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=612,0.031388047290564595,27,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=612,0.024322686925129875,27,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7464,0.025457827765632053,10,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7464,0.021470780247598565,10,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7464,0.02926894630662635,10,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=207,0.02987501105990056,5,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=207,0.031398568229756375,5,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=207,0.02613797747780454,5,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=8212,0.019269972788952996,18,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=8212,0.02652239920905212,18,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=8212,0.025191340982243786,18,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7463,0.021057236022513855,44,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7463,0.02487427457367892,44,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7463,0.023126568596970182,44,2,1,1,1,3,38,0.0,190.453125
SUM transactions (simulated missing index),0.09201359176238523,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.11024043023792285,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.08454561833574382,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.08468464979473266,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.09650977419974316,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.08279663977625312,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions for user_id=5107,0.029059529516143587,15,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=5107,0.027690213613932882,15,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=5107,0.027109629622302206,15,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=6100,0.04343061966470463,38,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=6100,0.03257412112051918,38,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=6100,0.04381133749991592,38,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=5751,0.02386801390109837,42,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=5751,0.02966455946926639,42,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=5751,0.029208732274667415,42,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=2115,0.02677091772198965,33,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=2115,0.028149193133004773,33,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=2115,0.02473879732886916,33,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=9372,0.02036215378910741,13,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=9372,0.024769639420207715,13,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=9372,0.0265799084099808,13,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=207,0.027828734732036033,5,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=207,0.027934427213209656,5,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=207,0.029658273946797372,5,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=2095,0.05005124143660522,24,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=2095,0.05394657475419462,24,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=2095,0.037550818291498075,24,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7607,0.029425081674229126,27,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7607,0.02353763338326199,27,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7607,0.020378751614338726,27,2,1,1,1,3,38,0.0,190.453125
SUM transactions (simulated missing index),0.09389933802788215,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.10513230479235676,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.10094947943235162,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions for user_id=3632,0.029223027970281062,8,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=3632,0.023528547390712473,8,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=3632,0.026461811705173467,8,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=4393,0.02636046761656672,47,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=4393,0.030993810207329997,47,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=4393,0.026389469016223674,47,2,1,1,1,3,38,0.0,190.453125
SUM transactions (simulated missing index),0.11368971902123161,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.1078006239135161,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.12040016257662292,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions for user_id=6875,0.025596413851123042,29,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=6875,0.028212598955966027,29,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=6875,0.01938482107348034,29,2,1,1,1,3,38,100.0,190.453125
SUM transactions (simulated missing index),0.07357164310421759,250188,1,1,1,0,2,42,66.7,190.453125
SUM transactions (simulated missing index),0.0901683706920865,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.09101812802118125,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions for user_id=7363,0.028264711966688307,16,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7363,0.027187026048407018,16,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7363,0.024148084556332657,16,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=3245,0.023476780272881092,7,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=3245,0.027118211330974966,7,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=3245,0.02636591265578633,7,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=9530,0.025307629740176793,44,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=9530,0.02614555669057095,44,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=9530,0.03513207322559363,44,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=3761,0.024291216826849496,19,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=3761,0.022343710428264267,19,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=3761,0.02155852438344505,19,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=5008,0.03072183683416529,22,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=5008,0.023776937691328326,22,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=5008,0.03139574849975829,22,2,1,1,1,3,38,0.0,190.453125
SUM transactions (simulated missing index),0.07907125821936657,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.0959388639639683,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.10005440879676925,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions for user_id=8233,0.028590232959588936,46,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=8233,0.0263312051256509,46,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=8233,0.02417371015700829,46,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=2322,0.025771435804450894,29,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=2322,0.0292556839467782,29,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=2322,0.022611830333093226,29,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=392,0.021956152421919596,12,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=392,0.02304865366678971,12,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=392,0.020691534604402283,12,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7939,0.027226450666454582,24,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7939,0.03803951149830434,24,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7939,0.037513950315882914,24,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=4085,0.030603409982130323,15,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=4085,0.027515506326406796,15,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=4085,0.02543533247695185,15,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=1951,0.024196877158896624,16,2,1,1,1,3,38,0.0,190.453125
