query,query_time,rows_examined,joins,has_sum,has_group_by,has_where,tables_count,query_length
SUM transactions for user_id=8258,0.0377095032579339,38,2,1,1,1,3,33
SUM transactions for user_id=7914,0.034977283463786,38,2,1,1,1,3,33
SUM transactions for user_id=7914,0.0414584083938839,38,2,1,1,1,3,33
SUM transactions for user_id=7914,0.03851998688485,38,2,1,1,1,3,33
SUM transactions for user_id=3047,0.0276152523039269,37,2,1,1,1,3,33
SUM transactions for user_id=3047,0.0383581900631167,37,2,1,1,1,3,33
SUM transactions for user_id=3047,0.0370706126979642,37,2,1,1,1,3,33
SUM transactions for user_id=5832,0.028176543103718,49,2,1,1,1,3,33
SUM transactions for user_id=5832,0.0296835162847927,49,2,1,1,1,3,33
SUM transactions for user_id=5832,0.0391792380725275,49,2,1,1,1,3,33
SUM transactions for user_id=3756,0.0383487121749362,5,2,1,1,1,3,33
SUM transactions for user_id=3756,0.0294071834476501,5,2,1,1,1,3,33
SUM transactions for user_id=3756,0.0371357932839761,5,2,1,1,1,3,33
SUM transactions for user_id=5477,0.0338151865383486,14,2,1,1,1,3,33
SUM transactions for user_id=5477,0.0290008034699983,14,2,1,1,1,3,33
SUM transactions for user_id=5477,0.0331961690983825,14,2,1,1,1,3,33
SUM transactions for user_id=2390,0.0324352419219271,29,2,1,1,1,3,33
SUM transactions for user_id=2390,0.0303462605132884,29,2,1,1,1,3,33
SUM transactions for user_id=2390,0.0345225535052352,29,2,1,1,1,3,33
SUM transactions for user_id=1625,0.0257555589066078,19,2,1,1,1,3,33
SUM transactions for user_id=1625,0.0381824949901499,19,2,1,1,1,3,33
SUM transactions for user_id=1625,0.0364926722039089,19,2,1,1,1,3,33
SUM transactions for user_id=7579,0.0294122052051578,6,2,1,1,1,3,33
SUM transactions for user_id=7579,0.0319044247931305,6,2,1,1,1,3,33
SUM transactions for user_id=7579,0.0351229286818045,6,2,1,1,1,3,33
SUM transactions for user_id=8605,0.0303327820092642,34,2,1,1,1,3,33
SUM transactions for user_id=8605,0.0286397254221165,34,2,1,1,1,3,33
SUM transactions for user_id=8605,0.029687143981256,34,2,1,1,1,3,33
SUM transactions for user_id=6176,0.0243278344662447,24,2,1,1,1,3,33
SUM transactions for user_id=6176,0.0343319730039482,24,2,1,1,1,3,33
SUM transactions for user_id=6176,0.0299077780318435,24,2,1,1,1,3,33
SUM transactions for user_id=4442,0.0353321302169363,15,2,1,1,1,3,33
SUM transactions for user_id=4442,0.0325306472350985,15,2,1,1,1,3,33
SUM transactions for user_id=4442,0.0339683272188974,15,2,1,1,1,3,33
SUM transactions for user_id=6939,0.0351825679644362,51,2,1,1,1,3,33
SUM transactions for user_id=6939,0.0318048044663253,51,2,1,1,1,3,33
SUM transactions for user_id=6939,0.0295338609634284,51,2,1,1,1,3,33
SUM transactions for user_id=5531,0.0383887050783909,13,2,1,1,1,3,33
SUM transactions for user_id=5531,0.0370935187338632,13,2,1,1,1,3,33
SUM transactions for user_id=5531,0.0282635147756461,13,2,1,1,1,3,33
SUM transactions for user_id=5192,0.0311860264272887,27,2,1,1,1,3,33
SUM transactions for user_id=5192,0.0341215218397756,27,2,1,1,1,3,33
SUM transactions for user_id=5192,0.0301150848259348,27,2,1,1,1,3,33
SUM transactions for user_id=8673,0.0322454427292494,39,2,1,1,1,3,33
SUM transactions for user_id=8673,0.0381903404731349,39,2,1,1,1,3,33
SUM transactions for user_id=8673,0.0360146061506875,39,2,1,1,1,3,33
SUM transactions for user_id=7623,0.0401482727578008,42,2,1,1,1,3,33
SUM transactions for user_id=7623,0.0412713096145834,42,2,1,1,1,3,33
SUM transactions for user_id=7623,0.0337108396904309,42,2,1,1,1,3,33
SUM transactions for user_id=5133,0.0650113916587778,11,2,1,1,1,3,33
SUM transactions for user_id=5133,0.0899907973052556,11,2,1,1,1,3,33
SUM transactions for user_id=5133,0.0770737438577338,11,2,1,1,1,3,33
SUM transactions for user_id=7806,0.0502855324879494,57,2,1,1,1,3,33
SUM transactions for user_id=7806,0.0713194454104845,57,2,1,1,1,3,33
SUM transactions for user_id=7806,0.0525801921941479,57,2,1,1,1,3,33
SUM transactions for user_id=1165,0.0361833979026103,46,2,1,1,1,3,33
SUM transactions for user_id=1165,0.0269354168323421,46,2,1,1,1,3,33
SUM transactions for user_id=1165,0.0320253012990631,46,2,1,1,1,3,33
SUM transactions for user_id=7256,0.0321921955220301,50,2,1,1,1,3,33
SUM transactions for user_id=7256,0.0281394571315181,50,2,1,1,1,3,33
SUM transactions for user_id=7256,0.028912005132218,50,2,1,1,1,3,33
SUM transactions for user_id=2589,0.0316378193313986,32,2,1,1,1,3,33
SUM transactions for user_id=2589,0.0239380802575415,32,2,1,1,1,3,33
SUM transactions for user_id=2589,0.0303004141859394,32,2,1,1,1,3,33
SUM transactions for user_id=3207,0.0268166961517965,12,2,1,1,1,3,33
SUM transactions for user_id=3207,0.0334977906238397,12,2,1,1,1,3,33
SUM transactions for user_id=3207,0.0280577014430475,12,2,1,1,1,3,33
SUM transactions for user_id=1656,0.0273188324033208,19,2,1,1,1,3,33
SUM transactions for user_id=1656,0.0296234526295974,19,2,1,1,1,3,33
SUM transactions for user_id=1656,0.0239722057617924,19,2,1,1,1,3,33
SUM transactions for user_id=5976,0.033506457794525,40,2,1,1,1,3,33
SUM transactions for user_id=5976,0.0234848649357601,40,2,1,1,1,3,33
SUM transactions for user_id=5976,0.0297675322169707,40,2,1,1,1,3,33
SUM transactions for user_id=9666,0.0232292242600737,39,2,1,1,1,3,33
SUM transactions for user_id=9666,0.0250538571356531,39,2,1,1,1,3,33
SUM transactions for user_id=9666,0.0294422038464458,39,2,1,1,1,3,33
SUM transactions for user_id=641,0.0307831475472186,32,2,1,1,1,3,32
SUM transactions for user_id=641,0.0314708890456277,32,2,1,1,1,3,32
SUM transactions for user_id=641,0.0294831807281179,32,2,1,1,1,3,32
SUM transactions for user_id=6293,0.0244649838716811,9,2,1,1,1,3,33
SUM transactions for user_id=6293,0.0279832719383842,9,2,1,1,1,3,33
SUM transactions for user_id=6293,0.0235354368556062,9,2,1,1,1,3,33
SUM transactions for user_id=8228,0.0215700184251767,37,2,1,1,1,3,33
SUM transactions for user_id=8228,0.0289202071360483,37,2,1,1,1,3,33
SUM transactions for user_id=8228,0.0232872949966288,37,2,1,1,1,3,33
SUM transactions for user_id=9723,0.0289413301577995,31,2,1,1,1,3,33
SUM transactions for user_id=9723,0.026163426420367,31,2,1,1,1,3,33
SUM transactions for user_id=9723,0.0326230548045796,31,2,1,1,1,3,33
SUM transactions for user_id=8031,0.0305220596220702,15,2,1,1,1,3,33
SUM transactions for user_id=8031,0.0253507837247983,15,2,1,1,1,3,33
SUM transactions for user_id=8031,0.0248254872184603,15,2,1,1,1,3,33
SUM transactions for user_id=3014,0.0206855875625606,45,2,1,1,1,3,33
SUM transactions for user_id=3014,0.0209981917170273,45,2,1,1,1,3,33
SUM transactions for user_id=3014,0.0270364619962818,45,2,1,1,1,3,33
SUM transactions for user_id=3665,0.0280352259714543,23,2,1,1,1,3,33
SUM transactions for user_id=3665,0.0245799017441544,23,2,1,1,1,3,33
SUM transactions for user_id=3665,0.0296384332791653,23,2,1,1,1,3,33
SUM transactions for user_id=6145,0.0287966053326778,14,2,1,1,1,3,33
SUM transactions for user_id=6145,0.0217423739981615,14,2,1,1,1,3,33
SUM transactions for user_id=6145,0.0274769857626897,14,2,1,1,1,3,33
SUM transactions for user_id=1636,0.0299349987391201,6,2,1,1,1,3,33
SUM transactions for user_id=1636,0.028009937646658,6,2,1,1,1,3,33
SUM transactions for user_id=1636,0.025083158081776,6,2,1,1,1,3,33
SUM transactions for user_id=4837,0.0314155038562331,34,2,1,1,1,3,33
SUM transactions for user_id=4837,0.0345981204337267,34,2,1,1,1,3,33
SUM transactions for user_id=4837,0.0277901729691694,34,2,1,1,1,3,33
SUM transactions for user_id=6516,0.0295789815274908,5,2,1,1,1,3,33
SUM transactions for user_id=6516,0.0344722014333112,5,2,1,1,1,3,33
SUM transactions for user_id=6516,0.0318534885280336,5,2,1,1,1,3,33
SUM transactions for user_id=2522,0.0393355140801193,20,2,1,1,1,3,33
SUM transactions for user_id=2522,0.0314778458580527,20,2,1,1,1,3,33
SUM transactions for user_id=2522,0.0346745143894399,20,2,1,1,1,3,33
SUM transactions for user_id=8472,0.0423563294551623,22,2,1,1,1,3,33
SUM transactions for user_id=8472,0.037971453586265,22,2,1,1,1,3,33
SUM transactions for user_id=8472,0.0376383518220385,22,2,1,1,1,3,33
SUM transactions for user_id=616,0.0384551883749169,17,2,1,1,1,3,32
SUM transactions for user_id=616,0.0335348155250253,17,2,1,1,1,3,32
SUM transactions for user_id=616,0.0393352555831713,17,2,1,1,1,3,32
SUM transactions for user_id=5684,0.0239632822655531,7,2,1,1,1,3,33
SUM transactions for user_id=5684,0.0292037171277475,7,2,1,1,1,3,33
SUM transactions for user_id=5684,0.0289238861639965,7,2,1,1,1,3,33
SUM transactions for user_id=6504,0.0272923358616483,45,2,1,1,1,3,33
SUM transactions for user_id=6504,0.0312056479750084,45,2,1,1,1,3,33
SUM transactions for user_id=6504,0.031200768469442,45,2,1,1,1,3,33
SUM transactions for user_id=6582,0.0367655889056965,38,2,1,1,1,3,33
SUM transactions for user_id=6582,0.026734502340308,38,2,1,1,1,3,33
SUM transactions for user_id=6582,0.0332298528064857,38,2,1,1,1,3,33
SUM transactions for user_id=7207,0.0387861731248531,42,2,1,1,1,3,33
SUM transactions for user_id=7207,0.033594593665274,42,2,1,1,1,3,33
SUM transactions for user_id=7207,0.0311518946034949,42,2,1,1,1,3,33
SUM transactions for user_id=7441,0.0302723557639184,19,2,1,1,1,3,33
SUM transactions for user_id=7441,0.0290181588829996,19,2,1,1,1,3,33
SUM transactions for user_id=7441,0.0416431929098784,19,2,1,1,1,3,33
SUM transactions for user_id=3746,0.0354309886092282,33,2,1,1,1,3,33
SUM transactions for user_id=3746,0.0308286293862199,33,2,1,1,1,3,33
SUM transactions for user_id=3746,0.0399411504552108,33,2,1,1,1,3,33
SUM transactions for user_id=7384,0.0271176653038149,9,2,1,1,1,3,33
SUM transactions for user_id=7384,0.0374476172407009,9,2,1,1,1,3,33
SUM transactions for user_id=7384,0.0295024515298916,9,2,1,1,1,3,33
SUM transactions for user_id=689,0.0314711407378925,17,2,1,1,1,3,32
SUM transactions for user_id=689,0.0333258933578341,17,2,1,1,1,3,32
SUM transactions for user_id=689,0.0318138309868792,17,2,1,1,1,3,32
SUM transactions for user_id=1381,0.0375712598545542,13,2,1,1,1,3,33
SUM transactions for user_id=1381,0.0362574868794034,13,2,1,1,1,3,33
SUM transactions for user_id=1381,0.0364706748310452,13,2,1,1,1,3,33
SUM transactions for user_id=3956,0.0313928488179093,14,2,1,1,1,3,33
SUM transactions for user_id=3956,0.0272839368161145,14,2,1,1,1,3,33
SUM transactions for user_id=3956,0.0374223544372027,14,2,1,1,1,3,33
SUM transactions for user_id=4040,0.0359471181314362,23,2,1,1,1,3,33
SUM transactions for user_id=4040,0.0265298323971781,23,2,1,1,1,3,33
SUM transactions for user_id=4040,0.0343546909972785,23,2,1,1,1,3,33
SUM transactions for user_id=2013,0.0382695317722866,6,2,1,1,1,3,33
SUM transactions for user_id=2013,0.0405079107577308,6,2,1,1,1,3,33
SUM transactions for user_id=2013,0.0311513181060787,6,2,1,1,1,3,33
SUM transactions for user_id=4450,0.0305543948781321,19,2,1,1,1,3,33
SUM transactions for user_id=4450,0.0372763569853189,19,2,1,1,1,3,33
SUM transactions for user_id=4450,0.0327171068882598,19,2,1,1,1,3,33
SUM transactions for user_id=1073,0.0372045975835302,14,2,1,1,1,3,33
SUM transactions for user_id=1073,0.0363891438352011,14,2,1,1,1,3,33
SUM transactions for user_id=1073,0.0378835547497606,14,2,1,1,1,3,33
SUM transactions for user_id=2152,0.0445957699285455,24,2,1,1,1,3,33
SUM transactions for user_id=2152,0.04567327581118,24,2,1,1,1,3,33
SUM transactions for user_id=2152,0.0476588225954918,24,2,1,1,1,3,33
SUM transactions for user_id=2113,0.0471707021321994,24,2,1,1,1,3,33
SUM transactions for user_id=2113,0.0396974368792196,24,2,1,1,1,3,33
SUM transactions for user_id=2113,0.0448673519436814,24,2,1,1,1,3,33
SUM transactions for user_id=5118,0.0353499599519046,41,2,1,1,1,3,33
SUM transactions for user_id=5118,0.0402379473900232,41,2,1,1,1,3,33
SUM transactions for user_id=5118,0.0415398295356567,41,2,1,1,1,3,33
SUM transactions for user_id=6784,0.0382583962443608,15,2,1,1,1,3,33
SUM transactions for user_id=6784,0.0353682899441246,15,2,1,1,1,3,33
SUM transactions for user_id=6784,0.0399653522680834,15,2,1,1,1,3,33
SUM transactions for user_id=5604,0.0455961637921498,36,2,1,1,1,3,33
SUM transactions for user_id=5604,0.0420494688110951,36,2,1,1,1,3,33
SUM transactions for user_id=5604,0.0495009992081765,36,2,1,1,1,3,33
SUM transactions for user_id=6859,0.0393220418942068,51,2,1,1,1,3,33
SUM transactions for user_id=6859,0.0387718045063221,51,2,1,1,1,3,33
SUM transactions for user_id=6859,0.0485770166936859,51,2,1,1,1,3,33
