account_id,user_id,account_type,balance,created_at
54,9816,BUSINESS,11260.76,2024-02-08
55,13214,SAVINGS,4555.27,2023-03-28
56,2754,SAVINGS,12747.18,2023-06-01
57,16742,CHECKING,463.28,2025-03-22
58,19348,CHECKING,1090.67,2023-02-22
59,5419,BUSINESS,231.41,2023-08-07
60,13877,BUSINESS,1967.66,2024-05-01
61,16538,SAVINGS,2460.65,2023-12-02
62,15184,BUSINESS,1582.8,2022-06-08
63,12849,BUSINESS,8822.79,2023-04-13
64,15635,BUSINESS,2206.13,2022-11-04
65,1640,CHECKING,1649.01,2024-06-25
66,1414,BUSINESS,3912.04,2024-02-23
67,11621,SAVINGS,759.49,2023-03-31
68,3864,CHECKING,8102.42,2025-04-17
69,2898,BUSINESS,387.38,2024-05-25
70,13878,SAVINGS,21670.73,2022-04-16
71,11620,CHECKING,7397.42,2023-11-03
72,1443,CHECKING,1107.7,2025-05-30
73,18083,BUSINESS,27.69,2024-11-06
74,8131,SAVINGS,8449.48,2023-03-30
75,15975,CHECKING,6135.48,2024-12-11
76,18128,BUSINESS,6528.31,2023-08-25
77,7345,CHECKING,7376.07,2025-06-11
78,12367,CHECKING,384.65,2025-10-02
79,3507,CHECKING,2219.46,2025-04-14
80,19040,BUSINESS,615.75,2024-08-29
81,13047,SAVINGS,9942.65,2022-11-21
82,9597,BUSINESS,4881.51,2024-01-01
83,1481,BUSINESS,2009.09,2022-08-06
84,13817,BUSINESS,328.34,2024-01-26
85,9275,BUSINESS,1862.44,2022-06-27
86,12332,CHECKING,1966.57,2023-06-10
87,17918,SAVINGS,6539.38,2025-08-24
88,8678,BUSINESS,5074.45,2023-01-20
89,14068,SAVINGS,10911.26,2025-03-08
90,8705,CHECKING,3195.33,2024-02-27
91,16768,CHECKING,636.86,2022-11-02
92,4971,SAVINGS,6245.63,2024-01-15
93,14548,SAVINGS,7151.96,2023-07-16
94,5012,BUSINESS,4119.44,2022-12-31
95,11077,SAVINGS,7369.45,2024-09-12
96,12647,SAVINGS,3404.07,2025-10-28
97,5237,CHECKING,3698.39,2024-03-11
98,19006,SAVINGS,2789.07,2025-04-02
99,13325,CHECKING,128.74,2025-08-05
100,17781,BUSINESS,570.84,2025-12-09
101,4098,SAVINGS,159.67,2022-11-25
102,16467,BUSINESS,5058.65,2023-04-22
103,7275,CHECKING,1886.98,2023-09-03
104,17519,CHECKING,3552.19,2024-06-17
105,17456,BUSINESS,11906.33,2025-05-11
106,16444,SAVINGS,1433.69,2025-04-07
107,1347,CHECKING,2641.41,2025-12-04
108,4505,CHECKING,7043.75,2025-06-12
109,12950,CHECKING,1299.03,2022-06-15
110,4960,BUSINESS,400.52,2024-07-16
111,14588,BUSINESS,1710.7,2023-09-16
112,18867,SAVINGS,879.04,2022-10-07
113,13924,SAVINGS,13274.75,2024-01-19
114,2078,SAVINGS,8254.44,2023-01-18
115,9828,SAVINGS,5017.47,2022-12-28
116,7028,SAVINGS,10257.6,2023-03-06
117,19219,BUSINESS,8139.84,2022-04-12
118,8136,CHECKING,1032.48,2023-02-15
119,19651,BUSINESS,11154.07,2025-01-04
120,5350,SAVINGS,3875.5,2025-06-23
121,13350,SAVINGS,8236.74,2022-10-02
122,7624,SAVINGS,11321.21,2024-02-28
123,15569,BUSINESS,1913.65,2025-03-22
124,13358,SAVINGS,582.96,2025-06-16
125,11198,SAVINGS,1293.43,2024-03-21
126,8147,SAVINGS,2785.29,2023-02-05
127,8340,CHECKING,8519.15,2024-09-29
128,18229,BUSINESS,9856.72,2025-01-10
129,3094,CHECKING,34.88,2025-04-04
130,10894,BUSINESS,3574.38,2024-06-16
131,719,SAVINGS,2701.37,2024-04-16
132,11807,CHECKING,1255.84,2025-11-29
133,9899,CHECKING,638.4,2024-09-05
134,4740,CHECKING,2059.54,2023-04-05
135,4082,BUSINESS,14315.61,2022-10-18
136,3191,CHECKING,1951.92,2022-08-28
137,10417,BUSINESS,3657.26,2024-03-16
138,1035,SAVINGS,6070.43,2025-12-12
139,9475,CHECKING,2259.87,2023-07-01
140,926,BUSINESS,17838.99,2024-08-21
141,13645,CHECKING,16410.05,2024-11-07
142,2071,CHECKING,1450.31,2023-09-16
143,15868,BUSINESS,3438.3,2022-11-21
144,2141,BUSINESS,1789.65,2025-07-04
145,4155,BUSINESS,1676.25,2024-09-05
146,8477,BUSINESS,187.92,2023-02-23
147,17638,BUSINESS,4702.46,2024-07-01
148,17912,BUSINESS,3492.6,2024-01-22
149,1371,BUSINESS,264.26,2022-07-21
150,17729,BUSINESS,1633.13,2023-08-26
151,94,CHECKING,11944.3,2024-11-19
152,15130,BUSINESS,1369.3,2024-03-28
153,4767,SAVINGS,782.65,2025-09-12
154,8897,SAVINGS,3361.36,2023-07-17
155,14512,CHECKING,21220.18,2025-08-29
156,13557,BUSINESS,1385.72,2022-07-23
157,3428,SAVINGS,5575.78,2023-12-28
158,10698,BUSINESS,7169.44,2024-08-01
159,6053,CHECKING,1356.67,2022-05-28
160,12339,CHECKING,6513.74,2023-08-24
161,17889,CHECKING,2292.61,2023-12-10
162,17643,BUSINESS,5002.52,2022-11-12
163,8159,BUSINESS,5019.19,2024-06-14
164,19064,CHECKING,3836.93,2022-02-12
165,18008,CHECKING,473.15,2025-11-07
166,10212,BUSINESS,9018.22,2024-09-14
167,12490,BUSINESS,1934.05,2025-04-15
168,10236,BUSINESS,1032.16,2023-09-12
169,2959,CHECKING,208.15,2023-08-16
170,11151,BUSINESS,4468.89,2023-05-01
171,8560,CHECKING,5659.26,2022-02-09
172,1616,SAVINGS,83.63,2022-03-18
173,4068,BUSINESS,3588.15,2024-02-27
174,4417,BUSINESS,1284.12,2023-01-28
175,19632,BUSINESS,5180.62,2024-06-20
176,5918,SAVINGS,958.02,2023-08-25
177,15656,CHECKING,5871.06,2023-07-31
178,8074,BUSINESS,2444.79,2023-09-04
179,12501,BUSINESS,13801.72,2025-10-23
180,1458,CHECKING,739.72,2022-03-09
181,3716,SAVINGS,2085.66,2022-03-19
182,15548,SAVINGS,602.22,2023-02-17
183,13844,BUSINESS,12930.95,2023-02-10
184,2028,SAVINGS,10491.67,2024-08-09
185,19530,BUSINESS,1491.64,2023-07-01
186,18195,CHECKING,5393.81,2022-10-26
187,6788,CHECKING,8497.42,2023-08-26
188,10302,SAVINGS,4050.66,2024-09-09
189,13461,BUSINESS,3771.4,2025-04-17
190,4122,SAVINGS,1384.39,2022-09-12
191,16865,BUSINESS,488.63,2022-10-14
192,8517,CHECKING,11375.62,2024-04-13
193,12203,BUSINESS,11533.87,2023-11-24
194,1829,CHECKING,5013.35,2024-10-22
195,15910,SAVINGS,2070.23,2021-12-26
196,1611,SAVINGS,2147.84,2024-01-24
197,19469,BUSINESS,6472.33,2025-10-15
198,18757,CHECKING,11370.49,2023-02-06
199,4453,CHECKING,10905.66,2024-09-12
200,17379,BUSINESS,7567.81,2025-09-07
201,8200,SAVINGS,5136.55,2024-04-15
202,1539,CHECKING,439.46,2022-01-17
203,12332,CHECKING,881.47,2022-06-12
204,8978,BUSINESS,11441.15,2023-10-03
205,18244,BUSINESS,4662.47,2023-11-29
206,14252,CHECKING,46.2,2024-06-22
207,16303,CHECKING,534.98,2024-05-13
208,1639,CHECKING,5445.81,2025-06-21
209,14281,CHECKING,25.37,2023-07-01
210,5303,SAVINGS,876.58,2025-11-20
211,10183,CHECKING,3978.49,2025-04-09
212,13881,CHECKING,5886.58,2023-07-02
213,16058,CHECKING,5277.21,2023-05-20
214,11139,BUSINESS,1269.75,2022-11-19
215,957,BUSINESS,6227.09,2024-12-16
216,14766,CHECKING,1354.12,2025-12-12
217,10451,SAVINGS,1968.17,2022-01-01
218,6301,BUSINESS,6861.79,2025-03-17
219,19943,SAVINGS,5243.87,2024-04-07
220,13932,SAVINGS,9459.78,2024-07-18
221,7947,CHECKING,5359.07,2022-10-12
222,8458,CHECKING,4200.22,2022-12-27
223,12494,SAVINGS,491.79,2024-04-11
224,6040,CHECKING,2292.08,2022-01-29
225,11027,BUSINESS,1540.8,2023-02-10
226,9477,SAVINGS,1398.5,2025-11-11
227,3553,CHECKING,18061.55,2022-02-02
228,10945,BUSINESS,2496.94,2023-12-31
229,19931,CHECKING,11130.28,2023-11-09
230,7501,SAVINGS,4986.67,2022-09-27
231,301,BUSINESS,7919.13,2024-03-18
232,13943,SAVINGS,3492.18,2021-12-31
233,6120,SAVINGS,4300.78,2023-05-08
234,5732,SAVINGS,3391.47,2023-09-28
235,9638,SAVINGS,1086.07,2022-10-15
236,14809,CHECKING,6408.81,2022-06-21
237,15676,BUSINESS,1647.89,2024-07-11
238,15531,CHECKING,123.08,2024-12-31
239,13148,SAVINGS,5184.84,2022-12-24
240,10355,BUSINESS,974.67,2023-11-19
241,2207,CHECKING,14105.42,2022-12-09
242,910,SAVINGS,15387.81,2024-05-30
243,2591,SAVINGS,12317.55,2023-04-24
244,9206,BUSINESS,2311.44,2023-05-30
245,3275,SAVINGS,77.89,2023-05-07
246,12207,BUSINESS,13177.62,2023-07-27
247,8232,BUSINESS,2794.69,2024-10-23
248,16944,BUSINESS,17004.21,2024-06-13
249,12723,SAVINGS,16568.68,2023-10-30
250,201,BUSINESS,9586.94,2023-02-13
251,492,SAVINGS,1743.88,2025-12-17
252,15552,BUSINESS,2431.46,2024-04-28
253,16918,CHECKING,9523.63,2022-11-11
254,15768,BUSINESS,1905.73,2024-05-23
255,16205,BUSINESS,928.59,2024-08-11
256,4190,SAVINGS,4068.68,2025-08-03
257,2594,SAVINGS,13756.47,2025-06-22
258,18935,BUSINESS,5954.13,2025-02-19
259,11743,CHECKING,4220.56,2024-09-29
260,447,CHECKING,511.14,2023-06-22
261,14619,SAVINGS,4772.65,2024-02-08
262,13388,CHECKING,23052.85,2025-05-05
263,5378,BUSINESS,754.6,2025-08-08
264,13927,SAVINGS,3652.48,2024-09-18
265,4826,BUSINESS,10493.04,2023-03-19
266,3635,SAVINGS,6750.17,2024-03-05
267,1753,SAVINGS,5970.37,2022-11-21
268,17327,CHECKING,6061.44,2022-02-22
269,7498,BUSINESS,2227.46,2022-01-08
270,15687,CHECKING,1737.81,2023-02-20
271,7471,CHECKING,8286.87,2025-07-02
272,11329,BUSINESS,8306.64,2022-01-18
273,19292,BUSINESS,10089.75,2022-12-10
274,12645,BUSINESS,12223.08,2024-01-16
275,1576,CHECKING,3580.47,2022-03-21
276,18157,CHECKING,3480.92,2024-05-17
277,5532,CHECKING,8004.75,2025-09-23
278,8675,BUSINESS,5248.6,2024-11-01
279,5729,CHECKING,6052.75,2025-03-24
280,4192,SAVINGS,7943.1,2024-05-12
281,18268,BUSINESS,11036.62,2023-07-27
282,7621,BUSINESS,2062.41,2024-04-25
283,10627,CHECKING,2354.68,2025-12-19
284,11863,CHECKING,493.48,2024-11-06
285,1545,SAVINGS,4317.07,2024-05-02
286,14066,CHECKING,183.02,2022-05-20
287,10011,BUSINESS,3133.03,2024-05-04
288,12040,CHECKING,3911.47,2023-07-20
289,15310,CHECKING,1688.15,2025-09-22
290,4773,SAVINGS,4468.16,2022-05-29
291,2514,SAVINGS,154.88,2024-04-05
292,4586,SAVINGS,190.32,2025-04-17
293,5052,BUSINESS,8646.76,2025-09-07
294,14663,CHECKING,2232.93,2023-12-20
295,17606,BUSINESS,679.45,2022-06-14
296,16098,BUSINESS,3693.27,2023-07-05
297,2781,CHECKING,7348.24,2022-12-29
298,14366,CHECKING,1215.59,2023-03-22
299,6760,SAVINGS,4876.1,2025-06-21
300,9617,BUSINESS,446.06,2023-10-28
301,5452,CHECKING,265.33,2025-12-11
302,5562,SAVINGS,3789.54,2024-01-18
303,6280,BUSINESS,3889.55,2023-01-26
304,17659,CHECKING,5072.69,2022-07-12
305,5562,SAVINGS,6474.8,2024-01-05
306,15557,CHECKING,18617.79,2022-11-26
307,414,BUSINESS,3631.46,2025-04-14
308,17790,SAVINGS,1950.1,2023-10-23
309,2205,BUSINESS,7928.27,2022-08-29
310,12683,SAVINGS,1579.26,2025-09-01
311,1367,CHECKING,2889.92,2025-08-29
312,10780,BUSINESS,408.53,2024-03-20
313,6369,SAVINGS,128.39,2025-04-13
314,12669,BUSINESS,16436.9,2022-08-02
315,7522,CHECKING,9038.84,2022-09-02
316,17870,BUSINESS,5953.21,2024-01-25
317,4746,CHECKING,2629.3,2024-03-17
318,7519,CHECKING,951.53,2022-02-16
319,7521,CHECKING,850.6,2022-03-21
320,388,SAVINGS,1440.03,2024-05-14
321,3403,BUSINESS,3983.95,2025-01-02
322,2266,BUSINESS,6269.25,2023-12-31
323,12988,CHECKING,5396.95,2023-12-28
324,15538,BUSINESS,1642.06,2025-03-13
325,9392,BUSINESS,15490.52,2022-11-16
326,2195,CHECKING,6695.09,2025-08-18
327,11317,SAVINGS,4041.15,2022-05-16
328,9138,CHECKING,4730.15,2024-02-27
329,8336,BUSINESS,2720.19,2023-08-27
330,11779,CHECKING,1423.31,2022-05-22
331,8582,CHECKING,2200.07,2025-06-25
332,1753,BUSINESS,7090.91,2023-05-14
333,6890,BUSINESS,72.49,2023-05-10
334,11850,BUSINESS,616.9,2022-08-10
335,2162,CHECKING,235.47,2025-10-10
336,19752,BUSINESS,207.91,2024-06-24
337,7126,CHECKING,9671.02,2023-11-08
338,18104,SAVINGS,6081.2,2022-03-18
339,511,BUSINESS,3213.92,2022-12-18
340,10503,SAVINGS,514.78,2023-06-06
341,19522,SAVINGS,3382.59,2022-08-29
342,4820,BUSINESS,3207.25,2025-02-14
343,14959,BUSINESS,950.97,2023-05-21
344,16794,BUSINESS,2844.5,2023-02-27
345,8371,BUSINESS,2541.68,2025-10-10
346,12649,BUSINESS,4783.61,2023-12-09
347,18609,BUSINESS,5040.57,2022-05-28
348,13946,BUSINESS,231.81,2022-07-05
349,17292,BUSINESS,2346.92,2025-04-19
350,5080,BUSINESS,4915.62,2022-04-23
351,19624,SAVINGS,3497.2,2024-04-06
352,10030,CHECKING,9706.75,2025-07-11
353,15770,BUSINESS,5374.87,2024-06-02
354,4354,CHECKING,889.26,2025-07-26
355,3430,CHECKING,365.91,2022-06-28
356,14727,BUSINESS,5141.97,2022-08-20
357,4507,CHECKING,134.35,2024-08-29
358,12349,SAVINGS,4406.74,2025-08-23
359,1194,SAVINGS,14086.28,2023-11-09
360,19603,BUSINESS,4283.91,2025-02-03
361,12496,BUSINESS,2456.5,2024-09-11
362,8279,SAVINGS,5154.14,2022-09-17
363,8776,SAVINGS,3064.78,2023-08-25
364,6676,BUSINESS,3944.07,2024-12-29
365,7419,BUSINESS,14190.64,2025-03-27
366,14731,SAVINGS,2439.64,2025-02-13
367,17088,SAVINGS,16245.46,2025-06-12
368,7808,BUSINESS,11787.88,2025-03-26
369,3382,SAVINGS,1089.48,2024-10-16
370,3694,BUSINESS,359.42,2025-01-09
371,18013,CHECKING,531.13,2024-12-26
372,986,CHECKING,91.95,2022-05-11
373,5149,BUSINESS,496.03,2022-10-06
374,6885,SAVINGS,5744.37,2024-07-06
375,16944,BUSINESS,369.25,2022-01-27
376,1618,BUSINESS,1920.79,2025-09-20
377,18943,BUSINESS,9317.63,2023-09-03
378,6950,SAVINGS,117.74,2025-07-02
379,4775,SAVINGS,8422.65,2022-09-29
380,1468,SAVINGS,1655.42,2022-05-01
381,489,SAVINGS,628.75,2022-09-18
382,7538,SAVINGS,5965.78,2024-02-25
383,70,SAVINGS,4957.0,2024-12-27
384,2066,BUSINESS,10497.08,2022-03-20
385,17106,CHECKING,6641.47,2022-01-31
386,15117,CHECKING,8134.98,2025-11-24
387,12433,SAVINGS,1656.67,2025-10-04
388,1485,SAVINGS,976.67,2025-05-10
389,16644,BUSINESS,6943.78,2022-09-01
390,19559,BUSINESS,8221.05,2023-02-18
391,18289,BUSINESS,23285.02,2024-07-14
392,15757,BUSINESS,2660.4,2023-08-01
393,12657,SAVINGS,2326.22,2024-12-12
394,368,BUSINESS,7489.77,2023-12-15
395,2740,CHECKING,2083.67,2025-04-14
396,6205,CHECKING,13350.69,2024-05-02
397,12574,SAVINGS,9774.2,2025-10-12
398,9463,SAVINGS,2801.78,2025-04-12
399,7709,BUSINESS,6948.92,2022-06-08
400,9482,CHECKING,7023.16,2025-10-04
401,7995,BUSINESS,544.19,2024-03-20
402,2787,BUSINESS,11642.23,2023-10-27
403,16723,SAVINGS,3518.54,2022-10-28
404,15814,CHECKING,8756.66,2022-03-11
405,13800,BUSINESS,1928.68,2022-10-28
406,4531,SAVINGS,11293.95,2024-03-15
407,10318,CHECKING,2464.94,2022-07-15
408,13392,BUSINESS,54.48,2023-12-30
409,10368,BUSINESS,11789.54,2025-12-03
410,3201,SAVINGS,478.63,2023-09-29
411,120,SAVINGS,1923.27,2025-11-17
412,554,CHECKING,14984.86,2024-07-14
413,13248,SAVINGS,15039.75,2025-03-15
414,115,CHECKING,4259.99,2024-12-31
415,9141,CHECKING,4996.15,2025-09-06
416,19279,CHECKING,2975.07,2022-03-12
417,14338,SAVINGS,1735.11,2023-10-29
418,10860,SAVINGS,1992.43,2024-01-04
419,1510,CHECKING,5581.62,2023-03-01
420,14184,BUSINESS,6979.19,2024-04-17
421,12778,CHECKING,7840.98,2024-08-31
422,8804,SAVINGS,7794.16,2024-11-16
423,2420,SAVINGS,478.18,2024-03-30
424,12878,CHECKING,3410.25,2024-09-02
425,9801,SAVINGS,296.41,2022-11-09
426,2959,BUSINESS,3987.31,2022-09-29
427,7367,CHECKING,2912.78,2023-08-12
428,52,CHECKING,10933.09,2022-04-18
429,17749,CHECKING,2160.96,2024-11-20
430,3296,CHECKING,622.53,2023-03-21
431,19382,CHECKING,771.54,2025-12-09
432,15383,SAVINGS,7167.15,2025-11-14
433,17131,BUSINESS,4814.53,2023-05-21
434,493,CHECKING,533.04,2022-07-25
435,18406,SAVINGS,439.28,2024-10-27
436,14087,CHECKING,6036.04,2022-05-08
437,17965,SAVINGS,377.73,2025-04-01
438,9641,BUSINESS,8625.93,2024-04-11
439,4615,CHECKING,6125.0,2024-06-20
440,17508,BUSINESS,424.24,2025-06-22
441,18595,BUSINESS,443.27,2022-06-14
442,13280,SAVINGS,21577.29,2024-05-23
443,12728,BUSINESS,2344.19,2023-12-08
444,15045,SAVINGS,2315.28,2023-01-02
445,17301,SAVINGS,8377.88,2024-04-24
446,17693,CHECKING,14710.82,2023-08-23
447,18286,BUSINESS,21343.87,2025-06-28
448,17041,BUSINESS,6999.5,2022-03-06
449,18539,SAVINGS,2360.1,2025-08-29
450,15483,BUSINESS,435.97,2022-12-28
451,15903,BUSINESS,7506.21,2022-12-11
452,2381,CHECKING,4086.8,2023-09-08
453,1004,CHECKING,2760.17,2025-07-19
454,19378,CHECKING,11841.19,2022-11-20
455,5919,CHECKING,589.4,2024-01-28
456,14862,SAVINGS,3392.53,2023-10-21
457,18657,CHECKING,57.09,2023-05-19
458,12356,SAVINGS,3161.77,2023-10-11
459,19488,SAVINGS,289.75,2024-11-03
460,4146,SAVINGS,632.45,2022-08-12
461,2851,SAVINGS,625.13,2022-12-01
462,14144,BUSINESS,5237.84,2022-12-19
463,11748,CHECKING,6852.99,2022-02-12
464,17105,BUSINESS,4377.77,2023-03-13
465,18320,SAVINGS,16373.6,2024-07-03
466,12457,SAVINGS,2348.98,2025-04-13
467,9920,SAVINGS,1682.35,2023-02-01
468,18131,SAVINGS,10147.51,2024-02-04
469,18732,CHECKING,1265.41,2025-07-07
470,4562,SAVINGS,16514.35,2025-05-01
471,15106,CHECKING,61.14,2022-01-06
472,10998,BUSINESS,17512.63,2022-02-12
473,10301,SAVINGS,220.59,2023-02-11
474,15092,CHECKING,11088.61,2023-02-09
475,14973,CHECKING,3750.72,2024-12-20
476,2957,BUSINESS,24784.14,2024-08-04
477,4521,CHECKING,383.31,2023-01-20
478,9726,CHECKING,4035.55,2025-08-27
479,19731,SAVINGS,17417.88,2023-01-17
480,2446,SAVINGS,3702.22,2023-02-02
481,17755,BUSINESS,4963.14,2025-09-09
482,18070,SAVINGS,5949.51,2022-10-13
483,9186,SAVINGS,3030.64,2025-02-03
484,19942,BUSINESS,4938.37,2022-05-29
485,19406,CHECKING,4389.13,2022-07-07
486,4515,CHECKING,11571.16,2022-04-10
487,8726,SAVINGS,232.56,2023-04-23
488,5332,SAVINGS,1649.21,2023-04-18
489,19765,CHECKING,15019.98,2025-06-23
490,10954,BUSINESS,11048.38,2022-09-17
491,19256,SAVINGS,3040.88,2024-05-14
492,14722,SAVINGS,4839.67,2025-02-28
493,8662,BUSINESS,1624.37,2022-11-29
494,12008,CHECKING,1042.02,2023-09-27
495,4322,SAVINGS,3115.29,2024-05-22
496,18139,CHECKING,2179.77,2023-09-06
497,9623,CHECKING,4381.22,2024-03-07
498,15929,SAVINGS,404.61,2022-04-20
499,10452,CHECKING,18324.8,2025-07-17
500,16574,SAVINGS,21419.33,2023-09-08
501,95,BUSINESS,5989.32,2024-01-19
502,4638,SAVINGS,3840.39,2023-04-23
503,12032,CHECKING,1851.9,2023-02-03
504,2,BUSINESS,8404.54,2025-04-07
505,18826,SAVINGS,5771.65,2025-03-18
506,1632,SAVINGS,887.37,2024-05-21
507,13085,SAVINGS,12091.51,2024-09-07
508,11213,CHECKING,8644.97,2022-07-30
509,9015,SAVINGS,14958.69,2024-10-04
510,15053,SAVINGS,6468.02,2023-11-15
511,6923,SAVINGS,4752.02,2022-05-07
512,9125,CHECKING,2708.51,2024-01-06
513,5821,BUSINESS,13495.09,2024-04-24
514,5340,BUSINESS,10051.96,2022-05-13
515,10752,BUSINESS,231.36,2025-08-25
516,9175,SAVINGS,133.6,2023-01-11
517,1915,SAVINGS,2361.74,2024-03-24
518,15909,BUSINESS,8318.24,2025-03-23
519,16932,SAVINGS,21821.38,2024-08-18
520,5273,BUSINESS,815.05,2023-01-05
521,8580,BUSINESS,4508.62,2023-04-14
522,14832,SAVINGS,2397.37,2023-07-28
523,2953,SAVINGS,17518.54,2023-06-18
524,13753,SAVINGS,9229.57,2023-04-25
525,12763,BUSINESS,9110.95,2023-11-14
526,12228,SAVINGS,3162.08,2023-04-19
527,15777,SAVINGS,2679.17,2022-08-28
528,1931,CHECKING,1596.94,2023-03-01
529,18431,BUSINESS,290.13,2024-10-31
530,1934,SAVINGS,10002.13,2022-08-25
531,3807,BUSINESS,8380.59,2025-07-31
532,12184,SAVINGS,40862.23,2024-12-06
533,5833,CHECKING,28474.37,2024-10-23
534,3579,BUSINESS,4053.26,2024-01-19
535,2824,CHECKING,7326.42,2023-06-03
536,6093,CHECKING,14480.86,2025-02-03
537,2650,BUSINESS,9473.86,2024-04-21
538,1430,BUSINESS,1420.76,2023-09-26
539,11886,SAVINGS,2994.13,2025-02-14
540,14438,SAVINGS,691.48,2022-10-19
541,18662,SAVINGS,15401.12,2025-10-26
542,6541,SAVINGS,4659.24,2025-04-09
543,1076,CHECKING,1298.02,2023-04-18
544,2323,CHECKING,5569.15,2022-12-24
545,19453,CHECKING,4813.35,2023-05-03
546,482,SAVINGS,2217.1,2025-10-26
547,15856,CHECKING,602.7,2022-02-10
548,2839,BUSINESS,5567.21,2024-10-09
549,18809,CHECKING,3673.05,2024-06-14
550,18409,BUSINESS,7399.04,2024-04-20
551,10723,BUSINESS,3671.55,2024-01-14
552,9603,SAVINGS,9558.85,2025-08-10
553,4616,BUSINESS,4013.77,2023-04-21
554,17102,CHECKING,4115.57,2023-09-08
555,13540,BUSINESS,10463.79,2025-03-30
556,18198,BUSINESS,2583.24,2024-02-19
557,6991,CHECKING,719.44,2023-10-13
558,11293,SAVINGS,146.03,2025-08-02
559,19503,CHECKING,7035.29,2025-06-20
560,9144,CHECKING,4841.99,2023-10-23
561,3787,CHECKING,6088.33,2024-09-03
562,2887,BUSINESS,1197.41,2022-10-03
563,16865,SAVINGS,733.06,2022-10-29
564,15537,SAVINGS,73.26,2022-12-19
565,10187,BUSINESS,2158.44,2022-10-15
566,2709,SAVINGS,4456.99,2025-02-11
567,2318,SAVINGS,2489.91,2023-05-09
568,8449,CHECKING,2876.6,2022-08-29
569,1488,SAVINGS,11725.31,2025-11-24
570,11528,BUSINESS,2140.51,2023-05-17
571,13215,SAVINGS,3607.63,2023-05-23
572,6003,SAVINGS,7654.36,2025-02-15
573,15345,CHECKING,2525.4,2024-06-11
574,6991,BUSINESS,4865.45,2023-12-19
575,11795,CHECKING,9915.7,2023-07-03
576,8390,BUSINESS,14930.95,2025-11-24
577,7929,CHECKING,795.41,2024-09-23
578,4961,CHECKING,13058.31,2022-05-19
579,17366,SAVINGS,3387.51,2025-05-31
580,13292,CHECKING,1493.68,2025-08-07
581,17881,CHECKING,3072.93,2024-03-09
582,1276,BUSINESS,19568.27,2022-10-01
583,14067,CHECKING,3392.46,2025-03-08
584,6350,BUSINESS,1993.08,2022-05-21
585,17956,SAVINGS,5017.43,2025-03-18
586,8237,CHECKING,1373.14,2024-07-04
587,17759,BUSINESS,394.48,2024-06-06
588,6398,BUSINESS,689.88,2024-01-08
589,9950,SAVINGS,685.09,2022-09-22
590,10418,SAVINGS,823.8,2023-02-03
591,12538,BUSINESS,747.3,2024-07-16
592,9763,CHECKING,5120.42,2024-10-04
593,4519,BUSINESS,1003.73,2022-02-13
594,1555,CHECKING,2120.7,2025-07-25
595,10945,SAVINGS,11354.87,2024-08-07
